Ontology	Metric	Value
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"NumberOfLexicalRegularitiesMetric"	1
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"LexicallySuggestLogicallyDefineMetric"	0.979
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"SystematicNamingMetric"	0.584
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"NumberOfClassesMetric"	3147
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"NamesPerPropertyMetric"	0.622
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.514
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"SynonymsPerClassMetric"	0.945
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"SynonymsPerPropertyMetric"	0.133
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"SynonymsPerObjectPropertyMetric"	0.6
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"DescriptionsPerClassMetric"	0.912
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"DescriptionsPerPropertyMetric"	0.156
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.029
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"DescriptionsPerObjectPropertyMetric"	0.6
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"ClassesWithNoDescriptionMetric"	0.118
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"ClassesWithNoSynonymMetric"	0.384
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.4
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.6
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"AnnotationPropertiesWithNoNameMetric"	0.486
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.971
"http://purl.obolibrary.org/obo/zfa/releases/2022-12-09/zfa.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
