Ontology	Metric	Value
"https://vocab.aeris-data.fr/project"	"NumberOfLexicalRegularitiesMetric"	0
"https://vocab.aeris-data.fr/project"	"NumberOfLexicalRegularityClassesMetric"	0
"https://vocab.aeris-data.fr/project"	"LexicalRegularitiesPerClassMetric"	0
"https://vocab.aeris-data.fr/project"	"LexicalRegularityClassPercentageMetric"	0
"https://vocab.aeris-data.fr/project"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://vocab.aeris-data.fr/project"	"SystematicNamingMetric"	NaN
"https://vocab.aeris-data.fr/project"	"NumberOfClassesMetric"	3
"https://vocab.aeris-data.fr/project"	"NamesPerClassMetric"	0
"https://vocab.aeris-data.fr/project"	"NamesPerPropertyMetric"	0
"https://vocab.aeris-data.fr/project"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://vocab.aeris-data.fr/project"	"NamesPerDataPropertyMetric"	NaN
"https://vocab.aeris-data.fr/project"	"NamesPerObjectPropertyMetric"	NaN
"https://vocab.aeris-data.fr/project"	"SynonymsPerClassMetric"	0
"https://vocab.aeris-data.fr/project"	"SynonymsPerPropertyMetric"	0
"https://vocab.aeris-data.fr/project"	"SynonymsPerAnnotationPropertyMetric"	0
"https://vocab.aeris-data.fr/project"	"SynonymsPerDataPropertyMetric"	NaN
"https://vocab.aeris-data.fr/project"	"SynonymsPerObjectPropertyMetric"	NaN
"https://vocab.aeris-data.fr/project"	"DescriptionsPerClassMetric"	0
"https://vocab.aeris-data.fr/project"	"DescriptionsPerPropertyMetric"	0
"https://vocab.aeris-data.fr/project"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://vocab.aeris-data.fr/project"	"DescriptionsPerDataPropertyMetric"	NaN
"https://vocab.aeris-data.fr/project"	"DescriptionsPerObjectPropertyMetric"	NaN
"https://vocab.aeris-data.fr/project"	"ClassesWithNoNameMetric"	1
"https://vocab.aeris-data.fr/project"	"ClassesWithNoDescriptionMetric"	1
"https://vocab.aeris-data.fr/project"	"ClassesWithNoSynonymMetric"	1
"https://vocab.aeris-data.fr/project"	"ObjectPropertiesWithNoNameMetric"	NaN
"https://vocab.aeris-data.fr/project"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"https://vocab.aeris-data.fr/project"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"https://vocab.aeris-data.fr/project"	"DataPropertiesWithNoNameMetric"	NaN
"https://vocab.aeris-data.fr/project"	"DataPropertiesWithNoDescriptionMetric"	NaN
"https://vocab.aeris-data.fr/project"	"DataPropertiesWithNoSynonymMetric"	NaN
"https://vocab.aeris-data.fr/project"	"AnnotationPropertiesWithNoNameMetric"	1
"https://vocab.aeris-data.fr/project"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"https://vocab.aeris-data.fr/project"	"AnnotationPropertiesWithNoSynonymMetric"	1
