Ontology	Metric	Value
"http://www.argodatamgt.org/argo-ontology#"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.argodatamgt.org/argo-ontology#"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.argodatamgt.org/argo-ontology#"	"LexicalRegularitiesPerClassMetric"	0
"http://www.argodatamgt.org/argo-ontology#"	"LexicalRegularityClassPercentageMetric"	0
"http://www.argodatamgt.org/argo-ontology#"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.argodatamgt.org/argo-ontology#"	"SystematicNamingMetric"	NaN
"http://www.argodatamgt.org/argo-ontology#"	"NumberOfClassesMetric"	18
"http://www.argodatamgt.org/argo-ontology#"	"NamesPerClassMetric"	0.667
"http://www.argodatamgt.org/argo-ontology#"	"NamesPerPropertyMetric"	0.455
"http://www.argodatamgt.org/argo-ontology#"	"DescriptionsPerAnnotationPropertyMetric"	0.357
"http://www.argodatamgt.org/argo-ontology#"	"NamesPerDataPropertyMetric"	0.118
"http://www.argodatamgt.org/argo-ontology#"	"NamesPerObjectPropertyMetric"	1
"http://www.argodatamgt.org/argo-ontology#"	"SynonymsPerClassMetric"	0
"http://www.argodatamgt.org/argo-ontology#"	"SynonymsPerPropertyMetric"	0
"http://www.argodatamgt.org/argo-ontology#"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.argodatamgt.org/argo-ontology#"	"SynonymsPerDataPropertyMetric"	0
"http://www.argodatamgt.org/argo-ontology#"	"SynonymsPerObjectPropertyMetric"	0
"http://www.argodatamgt.org/argo-ontology#"	"DescriptionsPerClassMetric"	0.944
"http://www.argodatamgt.org/argo-ontology#"	"DescriptionsPerPropertyMetric"	0.523
"http://www.argodatamgt.org/argo-ontology#"	"DescriptionsPerAnnotationPropertyMetric"	0.5
"http://www.argodatamgt.org/argo-ontology#"	"DescriptionsPerDataPropertyMetric"	0.118
"http://www.argodatamgt.org/argo-ontology#"	"DescriptionsPerObjectPropertyMetric"	1.077
"http://www.argodatamgt.org/argo-ontology#"	"ClassesWithNoNameMetric"	0.389
"http://www.argodatamgt.org/argo-ontology#"	"ClassesWithNoDescriptionMetric"	0.389
"http://www.argodatamgt.org/argo-ontology#"	"ClassesWithNoSynonymMetric"	1
"http://www.argodatamgt.org/argo-ontology#"	"ObjectPropertiesWithNoNameMetric"	0
"http://www.argodatamgt.org/argo-ontology#"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://www.argodatamgt.org/argo-ontology#"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.argodatamgt.org/argo-ontology#"	"DataPropertiesWithNoNameMetric"	0.882
"http://www.argodatamgt.org/argo-ontology#"	"DataPropertiesWithNoDescriptionMetric"	0.882
"http://www.argodatamgt.org/argo-ontology#"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.argodatamgt.org/argo-ontology#"	"AnnotationPropertiesWithNoNameMetric"	0.643
"http://www.argodatamgt.org/argo-ontology#"	"AnnotationPropertiesWithNoDescriptionMetric"	0.643
"http://www.argodatamgt.org/argo-ontology#"	"AnnotationPropertiesWithNoSynonymMetric"	1
