Ontology	Metric	Value
"https://service.poleterresolide.fr/voc/science_field"	"NumberOfLexicalRegularitiesMetric"	0
"https://service.poleterresolide.fr/voc/science_field"	"NumberOfLexicalRegularityClassesMetric"	0
"https://service.poleterresolide.fr/voc/science_field"	"LexicalRegularitiesPerClassMetric"	0
"https://service.poleterresolide.fr/voc/science_field"	"LexicalRegularityClassPercentageMetric"	0
"https://service.poleterresolide.fr/voc/science_field"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://service.poleterresolide.fr/voc/science_field"	"SystematicNamingMetric"	NaN
"https://service.poleterresolide.fr/voc/science_field"	"NumberOfClassesMetric"	4
"https://service.poleterresolide.fr/voc/science_field"	"NamesPerClassMetric"	0
"https://service.poleterresolide.fr/voc/science_field"	"NamesPerPropertyMetric"	0
"https://service.poleterresolide.fr/voc/science_field"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://service.poleterresolide.fr/voc/science_field"	"NamesPerDataPropertyMetric"	NaN
"https://service.poleterresolide.fr/voc/science_field"	"NamesPerObjectPropertyMetric"	NaN
"https://service.poleterresolide.fr/voc/science_field"	"SynonymsPerClassMetric"	0
"https://service.poleterresolide.fr/voc/science_field"	"SynonymsPerPropertyMetric"	0
"https://service.poleterresolide.fr/voc/science_field"	"SynonymsPerAnnotationPropertyMetric"	0
"https://service.poleterresolide.fr/voc/science_field"	"SynonymsPerDataPropertyMetric"	NaN
"https://service.poleterresolide.fr/voc/science_field"	"SynonymsPerObjectPropertyMetric"	NaN
"https://service.poleterresolide.fr/voc/science_field"	"DescriptionsPerClassMetric"	0
"https://service.poleterresolide.fr/voc/science_field"	"DescriptionsPerPropertyMetric"	0
"https://service.poleterresolide.fr/voc/science_field"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://service.poleterresolide.fr/voc/science_field"	"DescriptionsPerDataPropertyMetric"	NaN
"https://service.poleterresolide.fr/voc/science_field"	"DescriptionsPerObjectPropertyMetric"	NaN
"https://service.poleterresolide.fr/voc/science_field"	"ClassesWithNoNameMetric"	1
"https://service.poleterresolide.fr/voc/science_field"	"ClassesWithNoDescriptionMetric"	1
"https://service.poleterresolide.fr/voc/science_field"	"ClassesWithNoSynonymMetric"	1
"https://service.poleterresolide.fr/voc/science_field"	"ObjectPropertiesWithNoNameMetric"	NaN
"https://service.poleterresolide.fr/voc/science_field"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"https://service.poleterresolide.fr/voc/science_field"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"https://service.poleterresolide.fr/voc/science_field"	"DataPropertiesWithNoNameMetric"	NaN
"https://service.poleterresolide.fr/voc/science_field"	"DataPropertiesWithNoDescriptionMetric"	NaN
"https://service.poleterresolide.fr/voc/science_field"	"DataPropertiesWithNoSynonymMetric"	NaN
"https://service.poleterresolide.fr/voc/science_field"	"AnnotationPropertiesWithNoNameMetric"	1
"https://service.poleterresolide.fr/voc/science_field"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"https://service.poleterresolide.fr/voc/science_field"	"AnnotationPropertiesWithNoSynonymMetric"	1
