Ontology	Metric	Value
"https://service.poleterresolide.fr/voc/produit"	"NumberOfLexicalRegularitiesMetric"	0
"https://service.poleterresolide.fr/voc/produit"	"NumberOfLexicalRegularityClassesMetric"	0
"https://service.poleterresolide.fr/voc/produit"	"LexicalRegularitiesPerClassMetric"	0
"https://service.poleterresolide.fr/voc/produit"	"LexicalRegularityClassPercentageMetric"	0
"https://service.poleterresolide.fr/voc/produit"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://service.poleterresolide.fr/voc/produit"	"SystematicNamingMetric"	NaN
"https://service.poleterresolide.fr/voc/produit"	"NumberOfClassesMetric"	6
"https://service.poleterresolide.fr/voc/produit"	"NamesPerClassMetric"	0.333
"https://service.poleterresolide.fr/voc/produit"	"NamesPerPropertyMetric"	0.125
"https://service.poleterresolide.fr/voc/produit"	"DescriptionsPerAnnotationPropertyMetric"	0.125
"https://service.poleterresolide.fr/voc/produit"	"NamesPerDataPropertyMetric"	NaN
"https://service.poleterresolide.fr/voc/produit"	"NamesPerObjectPropertyMetric"	NaN
"https://service.poleterresolide.fr/voc/produit"	"SynonymsPerClassMetric"	0
"https://service.poleterresolide.fr/voc/produit"	"SynonymsPerPropertyMetric"	0
"https://service.poleterresolide.fr/voc/produit"	"SynonymsPerAnnotationPropertyMetric"	0
"https://service.poleterresolide.fr/voc/produit"	"SynonymsPerDataPropertyMetric"	NaN
"https://service.poleterresolide.fr/voc/produit"	"SynonymsPerObjectPropertyMetric"	NaN
"https://service.poleterresolide.fr/voc/produit"	"DescriptionsPerClassMetric"	0.5
"https://service.poleterresolide.fr/voc/produit"	"DescriptionsPerPropertyMetric"	0.125
"https://service.poleterresolide.fr/voc/produit"	"DescriptionsPerAnnotationPropertyMetric"	0.125
"https://service.poleterresolide.fr/voc/produit"	"DescriptionsPerDataPropertyMetric"	NaN
"https://service.poleterresolide.fr/voc/produit"	"DescriptionsPerObjectPropertyMetric"	NaN
"https://service.poleterresolide.fr/voc/produit"	"ClassesWithNoNameMetric"	0.667
"https://service.poleterresolide.fr/voc/produit"	"ClassesWithNoDescriptionMetric"	0.667
"https://service.poleterresolide.fr/voc/produit"	"ClassesWithNoSynonymMetric"	1
"https://service.poleterresolide.fr/voc/produit"	"ObjectPropertiesWithNoNameMetric"	NaN
"https://service.poleterresolide.fr/voc/produit"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"https://service.poleterresolide.fr/voc/produit"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"https://service.poleterresolide.fr/voc/produit"	"DataPropertiesWithNoNameMetric"	NaN
"https://service.poleterresolide.fr/voc/produit"	"DataPropertiesWithNoDescriptionMetric"	NaN
"https://service.poleterresolide.fr/voc/produit"	"DataPropertiesWithNoSynonymMetric"	NaN
"https://service.poleterresolide.fr/voc/produit"	"AnnotationPropertiesWithNoNameMetric"	0.875
"https://service.poleterresolide.fr/voc/produit"	"AnnotationPropertiesWithNoDescriptionMetric"	0.875
"https://service.poleterresolide.fr/voc/produit"	"AnnotationPropertiesWithNoSynonymMetric"	1
