Ontology	Metric	Value
"https://service.poleterresolide.fr/voc/variable"	"NumberOfLexicalRegularitiesMetric"	0
"https://service.poleterresolide.fr/voc/variable"	"NumberOfLexicalRegularityClassesMetric"	0
"https://service.poleterresolide.fr/voc/variable"	"LexicalRegularitiesPerClassMetric"	0
"https://service.poleterresolide.fr/voc/variable"	"LexicalRegularityClassPercentageMetric"	0
"https://service.poleterresolide.fr/voc/variable"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://service.poleterresolide.fr/voc/variable"	"SystematicNamingMetric"	NaN
"https://service.poleterresolide.fr/voc/variable"	"NumberOfClassesMetric"	6
"https://service.poleterresolide.fr/voc/variable"	"NamesPerClassMetric"	0.167
"https://service.poleterresolide.fr/voc/variable"	"NamesPerPropertyMetric"	0
"https://service.poleterresolide.fr/voc/variable"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://service.poleterresolide.fr/voc/variable"	"NamesPerDataPropertyMetric"	NaN
"https://service.poleterresolide.fr/voc/variable"	"NamesPerObjectPropertyMetric"	NaN
"https://service.poleterresolide.fr/voc/variable"	"SynonymsPerClassMetric"	0
"https://service.poleterresolide.fr/voc/variable"	"SynonymsPerPropertyMetric"	0
"https://service.poleterresolide.fr/voc/variable"	"SynonymsPerAnnotationPropertyMetric"	0
"https://service.poleterresolide.fr/voc/variable"	"SynonymsPerDataPropertyMetric"	NaN
"https://service.poleterresolide.fr/voc/variable"	"SynonymsPerObjectPropertyMetric"	NaN
"https://service.poleterresolide.fr/voc/variable"	"DescriptionsPerClassMetric"	0.333
"https://service.poleterresolide.fr/voc/variable"	"DescriptionsPerPropertyMetric"	0
"https://service.poleterresolide.fr/voc/variable"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://service.poleterresolide.fr/voc/variable"	"DescriptionsPerDataPropertyMetric"	NaN
"https://service.poleterresolide.fr/voc/variable"	"DescriptionsPerObjectPropertyMetric"	NaN
"https://service.poleterresolide.fr/voc/variable"	"ClassesWithNoNameMetric"	0.833
"https://service.poleterresolide.fr/voc/variable"	"ClassesWithNoDescriptionMetric"	0.833
"https://service.poleterresolide.fr/voc/variable"	"ClassesWithNoSynonymMetric"	1
"https://service.poleterresolide.fr/voc/variable"	"ObjectPropertiesWithNoNameMetric"	NaN
"https://service.poleterresolide.fr/voc/variable"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"https://service.poleterresolide.fr/voc/variable"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"https://service.poleterresolide.fr/voc/variable"	"DataPropertiesWithNoNameMetric"	NaN
"https://service.poleterresolide.fr/voc/variable"	"DataPropertiesWithNoDescriptionMetric"	NaN
"https://service.poleterresolide.fr/voc/variable"	"DataPropertiesWithNoSynonymMetric"	NaN
"https://service.poleterresolide.fr/voc/variable"	"AnnotationPropertiesWithNoNameMetric"	1
"https://service.poleterresolide.fr/voc/variable"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"https://service.poleterresolide.fr/voc/variable"	"AnnotationPropertiesWithNoSynonymMetric"	1
