Ontology	Metric	Value
"http://vocab.nerc.ac.uk/collection/L05/current/"	"NumberOfLexicalRegularitiesMetric"	0
"http://vocab.nerc.ac.uk/collection/L05/current/"	"NumberOfLexicalRegularityClassesMetric"	0
"http://vocab.nerc.ac.uk/collection/L05/current/"	"LexicalRegularitiesPerClassMetric"	0
"http://vocab.nerc.ac.uk/collection/L05/current/"	"LexicalRegularityClassPercentageMetric"	0
"http://vocab.nerc.ac.uk/collection/L05/current/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://vocab.nerc.ac.uk/collection/L05/current/"	"SystematicNamingMetric"	NaN
"http://vocab.nerc.ac.uk/collection/L05/current/"	"NumberOfClassesMetric"	2
"http://vocab.nerc.ac.uk/collection/L05/current/"	"NamesPerClassMetric"	0
"http://vocab.nerc.ac.uk/collection/L05/current/"	"NamesPerPropertyMetric"	0
"http://vocab.nerc.ac.uk/collection/L05/current/"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://vocab.nerc.ac.uk/collection/L05/current/"	"NamesPerDataPropertyMetric"	NaN
"http://vocab.nerc.ac.uk/collection/L05/current/"	"NamesPerObjectPropertyMetric"	NaN
"http://vocab.nerc.ac.uk/collection/L05/current/"	"SynonymsPerClassMetric"	0
"http://vocab.nerc.ac.uk/collection/L05/current/"	"SynonymsPerPropertyMetric"	0
"http://vocab.nerc.ac.uk/collection/L05/current/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://vocab.nerc.ac.uk/collection/L05/current/"	"SynonymsPerDataPropertyMetric"	NaN
"http://vocab.nerc.ac.uk/collection/L05/current/"	"SynonymsPerObjectPropertyMetric"	NaN
"http://vocab.nerc.ac.uk/collection/L05/current/"	"DescriptionsPerClassMetric"	0
"http://vocab.nerc.ac.uk/collection/L05/current/"	"DescriptionsPerPropertyMetric"	0
"http://vocab.nerc.ac.uk/collection/L05/current/"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://vocab.nerc.ac.uk/collection/L05/current/"	"DescriptionsPerDataPropertyMetric"	NaN
"http://vocab.nerc.ac.uk/collection/L05/current/"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://vocab.nerc.ac.uk/collection/L05/current/"	"ClassesWithNoNameMetric"	1
"http://vocab.nerc.ac.uk/collection/L05/current/"	"ClassesWithNoDescriptionMetric"	1
"http://vocab.nerc.ac.uk/collection/L05/current/"	"ClassesWithNoSynonymMetric"	1
"http://vocab.nerc.ac.uk/collection/L05/current/"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://vocab.nerc.ac.uk/collection/L05/current/"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://vocab.nerc.ac.uk/collection/L05/current/"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://vocab.nerc.ac.uk/collection/L05/current/"	"DataPropertiesWithNoNameMetric"	NaN
"http://vocab.nerc.ac.uk/collection/L05/current/"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://vocab.nerc.ac.uk/collection/L05/current/"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://vocab.nerc.ac.uk/collection/L05/current/"	"AnnotationPropertiesWithNoNameMetric"	1
"http://vocab.nerc.ac.uk/collection/L05/current/"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://vocab.nerc.ac.uk/collection/L05/current/"	"AnnotationPropertiesWithNoSynonymMetric"	1
