Ontology	Metric	Value
"http://vocab.nerc.ac.uk/collection/P06/current/"	"NumberOfLexicalRegularitiesMetric"	0
"http://vocab.nerc.ac.uk/collection/P06/current/"	"NumberOfLexicalRegularityClassesMetric"	0
"http://vocab.nerc.ac.uk/collection/P06/current/"	"LexicalRegularitiesPerClassMetric"	0
"http://vocab.nerc.ac.uk/collection/P06/current/"	"LexicalRegularityClassPercentageMetric"	0
"http://vocab.nerc.ac.uk/collection/P06/current/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://vocab.nerc.ac.uk/collection/P06/current/"	"SystematicNamingMetric"	NaN
"http://vocab.nerc.ac.uk/collection/P06/current/"	"NumberOfClassesMetric"	2
"http://vocab.nerc.ac.uk/collection/P06/current/"	"NamesPerClassMetric"	0
"http://vocab.nerc.ac.uk/collection/P06/current/"	"NamesPerPropertyMetric"	0
"http://vocab.nerc.ac.uk/collection/P06/current/"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://vocab.nerc.ac.uk/collection/P06/current/"	"NamesPerDataPropertyMetric"	NaN
"http://vocab.nerc.ac.uk/collection/P06/current/"	"NamesPerObjectPropertyMetric"	NaN
"http://vocab.nerc.ac.uk/collection/P06/current/"	"SynonymsPerClassMetric"	0
"http://vocab.nerc.ac.uk/collection/P06/current/"	"SynonymsPerPropertyMetric"	0
"http://vocab.nerc.ac.uk/collection/P06/current/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://vocab.nerc.ac.uk/collection/P06/current/"	"SynonymsPerDataPropertyMetric"	NaN
"http://vocab.nerc.ac.uk/collection/P06/current/"	"SynonymsPerObjectPropertyMetric"	NaN
"http://vocab.nerc.ac.uk/collection/P06/current/"	"DescriptionsPerClassMetric"	0
"http://vocab.nerc.ac.uk/collection/P06/current/"	"DescriptionsPerPropertyMetric"	0
"http://vocab.nerc.ac.uk/collection/P06/current/"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://vocab.nerc.ac.uk/collection/P06/current/"	"DescriptionsPerDataPropertyMetric"	NaN
"http://vocab.nerc.ac.uk/collection/P06/current/"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://vocab.nerc.ac.uk/collection/P06/current/"	"ClassesWithNoNameMetric"	1
"http://vocab.nerc.ac.uk/collection/P06/current/"	"ClassesWithNoDescriptionMetric"	1
"http://vocab.nerc.ac.uk/collection/P06/current/"	"ClassesWithNoSynonymMetric"	1
"http://vocab.nerc.ac.uk/collection/P06/current/"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://vocab.nerc.ac.uk/collection/P06/current/"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://vocab.nerc.ac.uk/collection/P06/current/"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://vocab.nerc.ac.uk/collection/P06/current/"	"DataPropertiesWithNoNameMetric"	NaN
"http://vocab.nerc.ac.uk/collection/P06/current/"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://vocab.nerc.ac.uk/collection/P06/current/"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://vocab.nerc.ac.uk/collection/P06/current/"	"AnnotationPropertiesWithNoNameMetric"	1
"http://vocab.nerc.ac.uk/collection/P06/current/"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://vocab.nerc.ac.uk/collection/P06/current/"	"AnnotationPropertiesWithNoSynonymMetric"	1
