Ontology	Metric	Value
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"NumberOfLexicalRegularitiesMetric"	0
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"NumberOfLexicalRegularityClassesMetric"	0
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"LexicalRegularitiesPerClassMetric"	0
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"LexicalRegularityClassPercentageMetric"	0
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"SystematicNamingMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"NumberOfClassesMetric"	2
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"NamesPerClassMetric"	0
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"NamesPerPropertyMetric"	0
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"NamesPerDataPropertyMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"NamesPerObjectPropertyMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"SynonymsPerClassMetric"	0
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"SynonymsPerPropertyMetric"	0
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"SynonymsPerAnnotationPropertyMetric"	0
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"SynonymsPerDataPropertyMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"SynonymsPerObjectPropertyMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"DescriptionsPerClassMetric"	0
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"DescriptionsPerPropertyMetric"	0
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"DescriptionsPerDataPropertyMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"DescriptionsPerObjectPropertyMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"ClassesWithNoNameMetric"	1
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"ClassesWithNoDescriptionMetric"	1
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"ClassesWithNoSynonymMetric"	1
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"ObjectPropertiesWithNoNameMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"DataPropertiesWithNoNameMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"DataPropertiesWithNoDescriptionMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"DataPropertiesWithNoSynonymMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"AnnotationPropertiesWithNoNameMetric"	1
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"https://vocabulary.actris.nilu.no/actris_controlled_lists/"	"AnnotationPropertiesWithNoSynonymMetric"	1
