Ontology	Metric	Value
"https://vocabulary.actris.nilu.no/actris_vocab/"	"NumberOfLexicalRegularitiesMetric"	0
"https://vocabulary.actris.nilu.no/actris_vocab/"	"NumberOfLexicalRegularityClassesMetric"	0
"https://vocabulary.actris.nilu.no/actris_vocab/"	"LexicalRegularitiesPerClassMetric"	0
"https://vocabulary.actris.nilu.no/actris_vocab/"	"LexicalRegularityClassPercentageMetric"	0
"https://vocabulary.actris.nilu.no/actris_vocab/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_vocab/"	"SystematicNamingMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_vocab/"	"NumberOfClassesMetric"	2
"https://vocabulary.actris.nilu.no/actris_vocab/"	"NamesPerClassMetric"	0
"https://vocabulary.actris.nilu.no/actris_vocab/"	"NamesPerPropertyMetric"	0.185
"https://vocabulary.actris.nilu.no/actris_vocab/"	"DescriptionsPerAnnotationPropertyMetric"	0.185
"https://vocabulary.actris.nilu.no/actris_vocab/"	"NamesPerDataPropertyMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_vocab/"	"NamesPerObjectPropertyMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_vocab/"	"SynonymsPerClassMetric"	0
"https://vocabulary.actris.nilu.no/actris_vocab/"	"SynonymsPerPropertyMetric"	0
"https://vocabulary.actris.nilu.no/actris_vocab/"	"SynonymsPerAnnotationPropertyMetric"	0
"https://vocabulary.actris.nilu.no/actris_vocab/"	"SynonymsPerDataPropertyMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_vocab/"	"SynonymsPerObjectPropertyMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_vocab/"	"DescriptionsPerClassMetric"	0
"https://vocabulary.actris.nilu.no/actris_vocab/"	"DescriptionsPerPropertyMetric"	0
"https://vocabulary.actris.nilu.no/actris_vocab/"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://vocabulary.actris.nilu.no/actris_vocab/"	"DescriptionsPerDataPropertyMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_vocab/"	"DescriptionsPerObjectPropertyMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_vocab/"	"ClassesWithNoNameMetric"	1
"https://vocabulary.actris.nilu.no/actris_vocab/"	"ClassesWithNoDescriptionMetric"	1
"https://vocabulary.actris.nilu.no/actris_vocab/"	"ClassesWithNoSynonymMetric"	1
"https://vocabulary.actris.nilu.no/actris_vocab/"	"ObjectPropertiesWithNoNameMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_vocab/"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_vocab/"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_vocab/"	"DataPropertiesWithNoNameMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_vocab/"	"DataPropertiesWithNoDescriptionMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_vocab/"	"DataPropertiesWithNoSynonymMetric"	NaN
"https://vocabulary.actris.nilu.no/actris_vocab/"	"AnnotationPropertiesWithNoNameMetric"	0.815
"https://vocabulary.actris.nilu.no/actris_vocab/"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"https://vocabulary.actris.nilu.no/actris_vocab/"	"AnnotationPropertiesWithNoSynonymMetric"	1
