Ontology	Metric	Value
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"NumberOfLexicalRegularitiesMetric"	6
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"NumberOfLexicalRegularityClassesMetric"	2
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"LexicalRegularitiesPerClassMetric"	0.028
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"LexicalRegularityClassPercentageMetric"	0.009
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"LexicallySuggestLogicallyDefineMetric"	0.971
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"SystematicNamingMetric"	0.694
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"NumberOfClassesMetric"	212
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"NamesPerClassMetric"	0.967
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"NamesPerPropertyMetric"	0.911
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.485
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"NamesPerObjectPropertyMetric"	1.085
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"SynonymsPerClassMetric"	0.37
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"SynonymsPerPropertyMetric"	0.123
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"SynonymsPerAnnotationPropertyMetric"	0.01
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"SynonymsPerObjectPropertyMetric"	0.538
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"DescriptionsPerClassMetric"	0.82
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"DescriptionsPerPropertyMetric"	0.868
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.424
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"DescriptionsPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"DescriptionsPerObjectPropertyMetric"	0.953
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"ClassesWithNoNameMetric"	0.048
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"ClassesWithNoDescriptionMetric"	0.3
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"ClassesWithNoSynonymMetric"	0.786
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"ObjectPropertiesWithNoNameMetric"	0.009
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.153
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.676
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"AnnotationPropertiesWithNoNameMetric"	0.596
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.667
"http://purl.obolibrary.org/obo/bco/releases/2021-11-14/bco.owl"	"AnnotationPropertiesWithNoSynonymMetric"	0.99
