Ontology	Metric	Value
"http://purl.org/dsw/"	"NumberOfLexicalRegularitiesMetric"	1
"http://purl.org/dsw/"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.org/dsw/"	"LexicalRegularitiesPerClassMetric"	0.071
"http://purl.org/dsw/"	"LexicalRegularityClassPercentageMetric"	0.071
"http://purl.org/dsw/"	"LexicallySuggestLogicallyDefineMetric"	1
"http://purl.org/dsw/"	"NumberOfClassesMetric"	15
"http://purl.org/dsw/"	"NamesPerClassMetric"	1
"http://purl.org/dsw/"	"NamesPerPropertyMetric"	0.677
"http://purl.org/dsw/"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.org/dsw/"	"NamesPerDataPropertyMetric"	NaN
"http://purl.org/dsw/"	"NamesPerObjectPropertyMetric"	1
"http://purl.org/dsw/"	"SynonymsPerClassMetric"	0
"http://purl.org/dsw/"	"SynonymsPerPropertyMetric"	0
"http://purl.org/dsw/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.org/dsw/"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.org/dsw/"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.org/dsw/"	"DescriptionsPerClassMetric"	1.643
"http://purl.org/dsw/"	"DescriptionsPerPropertyMetric"	1.581
"http://purl.org/dsw/"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.org/dsw/"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.org/dsw/"	"DescriptionsPerObjectPropertyMetric"	2.333
"http://purl.org/dsw/"	"ClassesWithNoNameMetric"	0
"http://purl.org/dsw/"	"ClassesWithNoDescriptionMetric"	0.071
"http://purl.org/dsw/"	"ClassesWithNoSynonymMetric"	1
"http://purl.org/dsw/"	"ObjectPropertiesWithNoNameMetric"	0.16
"http://purl.org/dsw/"	"ObjectPropertiesWithNoDescriptionMetric"	0.08
"http://purl.org/dsw/"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.org/dsw/"	"DataPropertiesWithNoNameMetric"	1
"http://purl.org/dsw/"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.org/dsw/"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.org/dsw/"	"AnnotationPropertiesWithNoNameMetric"	1
"http://purl.org/dsw/"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.org/dsw/"	"AnnotationPropertiesWithNoSynonymMetric"	1
