Ontology	Metric	Value
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"NumberOfLexicalRegularitiesMetric"	0
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"NumberOfLexicalRegularityClassesMetric"	0
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"LexicalRegularitiesPerClassMetric"	0
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"LexicalRegularityClassPercentageMetric"	0
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"SystematicNamingMetric"	NaN
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"NumberOfClassesMetric"	2
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"NamesPerClassMetric"	0
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"NamesPerPropertyMetric"	0
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"NamesPerDataPropertyMetric"	NaN
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"NamesPerObjectPropertyMetric"	NaN
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"SynonymsPerClassMetric"	0
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"SynonymsPerPropertyMetric"	0
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"SynonymsPerAnnotationPropertyMetric"	0
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"SynonymsPerDataPropertyMetric"	NaN
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"SynonymsPerObjectPropertyMetric"	NaN
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"DescriptionsPerClassMetric"	0
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"DescriptionsPerPropertyMetric"	0
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"DescriptionsPerDataPropertyMetric"	NaN
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"DescriptionsPerObjectPropertyMetric"	NaN
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"ClassesWithNoNameMetric"	1
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"ClassesWithNoDescriptionMetric"	1
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"ClassesWithNoSynonymMetric"	1
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"ObjectPropertiesWithNoNameMetric"	NaN
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"DataPropertiesWithNoNameMetric"	NaN
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"DataPropertiesWithNoDescriptionMetric"	NaN
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"DataPropertiesWithNoSynonymMetric"	NaN
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"AnnotationPropertiesWithNoNameMetric"	1
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"https://kos.lifewatch.eu/thesauri/fishtraits/"	"AnnotationPropertiesWithNoSynonymMetric"	1
