Ontology	Metric	Value
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"NumberOfLexicalRegularitiesMetric"	0
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"NumberOfLexicalRegularityClassesMetric"	0
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"LexicalRegularitiesPerClassMetric"	0
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"LexicalRegularityClassPercentageMetric"	0
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"SystematicNamingMetric"	NaN
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"NumberOfClassesMetric"	2
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"NamesPerClassMetric"	0
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"NamesPerPropertyMetric"	0
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"NamesPerDataPropertyMetric"	NaN
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"NamesPerObjectPropertyMetric"	NaN
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"SynonymsPerClassMetric"	0
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"SynonymsPerPropertyMetric"	0
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"SynonymsPerAnnotationPropertyMetric"	0
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"SynonymsPerDataPropertyMetric"	NaN
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"SynonymsPerObjectPropertyMetric"	NaN
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"DescriptionsPerClassMetric"	0
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"DescriptionsPerPropertyMetric"	0
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"DescriptionsPerDataPropertyMetric"	NaN
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"DescriptionsPerObjectPropertyMetric"	NaN
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"ClassesWithNoNameMetric"	1
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"ClassesWithNoDescriptionMetric"	1
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"ClassesWithNoSynonymMetric"	1
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"ObjectPropertiesWithNoNameMetric"	NaN
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"DataPropertiesWithNoNameMetric"	NaN
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"DataPropertiesWithNoDescriptionMetric"	NaN
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"DataPropertiesWithNoSynonymMetric"	NaN
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"AnnotationPropertiesWithNoNameMetric"	1
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"https://kos.lifewatch.eu/thesauri/macroalgaetraits/"	"AnnotationPropertiesWithNoSynonymMetric"	1
