Repository,OQUARE.xml,OQUARE.ttl,HURON_long.tsv,HURON_wide.tsv,HURON.ttl,OntologyFilename
data.ecoportal.lifewatch.eu,T,T,T,T,T,euroscivoc-20211217-skos__EuroSciVoc-skos-ap-eu.rdf
data.ecoportal.lifewatch.eu,T,T,T,T,T,i-adopt-20231106-owl__i-adopt.ttl
data.ecoportal.lifewatch.eu,F,F,T,T,T,cpmeta-20240209-owl__cpmeta.owl
data.ecoportal.lifewatch.eu,T,T,T,T,T,eurio-20211206-owl__EURIO.ttl
data.ecoportal.lifewatch.eu,T,T,T,T,T,mrptcodelist-20231013-skos__placetypes.ttl
data.ecoportal.lifewatch.eu,F,F,T,T,T,actris_vocab-20240207-skos__ACTRIS-vocabulary.rdf
data.ecoportal.lifewatch.eu,T,T,T,T,T,macroalgaetraits-20230913-skos__submission10.rdf
data.ecoportal.lifewatch.eu,T,T,T,T,T,phytotraits-20230913-skos__submission7.rdf
data.ecoportal.lifewatch.eu,T,T,T,T,T,mr-20221211-owl__ontology.ttl
data.ecoportal.lifewatch.eu,T,T,T,T,T,fishtraits-20230913-skos__submission8.rdf
data.ecoportal.lifewatch.eu,T,T,T,T,T,eurovoc-20220103-skos__eurovoc-in-skos-core-concepts-topConcepts.rdf
data.ecoportal.lifewatch.eu,T,T,T,T,T,zooplanktraits-20230913-skos__submission11.rdf
data.ecoportal.lifewatch.eu,T,T,T,T,T,sty-20230911-umls__umls-semantictypes2.ttl
data.ecoportal.lifewatch.eu,T,T,T,T,T,pco-20220204-owl__pco.owl
data.ecoportal.lifewatch.eu,T,T,T,T,T,biodivthes-20220927-skos__Biodiversite2.1exportLoterreuneskos.rdf
data.ecoportal.lifewatch.eu,T,T,T,T,T,dwcem-20211223-skos__establishmentMeansCurated.ttl
data.ecoportal.lifewatch.eu,T,T,T,T,T,dsw-20211222-owl__dsw.owl
data.ecoportal.lifewatch.eu,T,T,T,T,T,endemisms-20231021-skos__submission.rdf
data.ecoportal.lifewatch.eu,T,T,T,T,T,actris_cl-20240213-skos__ACTRIS-Controlled-lists.rdf
data.ecoportal.lifewatch.eu,T,T,T,T,T,elter_cl-20240105-skos__elter-cl.ttl
data.ecoportal.lifewatch.eu,T,T,T,T,T,envthes-20231106-skos__EnvThes.ttl
data.ecoportal.lifewatch.eu,T,T,T,T,T,bco-20220204-owl__bco.owl
data.ecoportal.lifewatch.eu,T,T,T,T,T,acformat-20240301-skos__values.rdf
