Ontology	Metric	Value
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"NumberOfLexicalRegularitiesMetric"	0
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"NumberOfLexicalRegularityClassesMetric"	0
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"LexicalRegularitiesPerClassMetric"	0
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"LexicalRegularityClassPercentageMetric"	0
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"SystematicNamingMetric"	NaN
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"NumberOfClassesMetric"	2
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"NamesPerClassMetric"	0
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"NamesPerPropertyMetric"	0
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"NamesPerDataPropertyMetric"	NaN
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"NamesPerObjectPropertyMetric"	NaN
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"SynonymsPerClassMetric"	0
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"SynonymsPerPropertyMetric"	0
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"SynonymsPerAnnotationPropertyMetric"	0
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"SynonymsPerDataPropertyMetric"	NaN
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"SynonymsPerObjectPropertyMetric"	NaN
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"DescriptionsPerClassMetric"	0
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"DescriptionsPerPropertyMetric"	0
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"DescriptionsPerDataPropertyMetric"	NaN
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"DescriptionsPerObjectPropertyMetric"	NaN
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"ClassesWithNoNameMetric"	1
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"ClassesWithNoDescriptionMetric"	1
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"ClassesWithNoSynonymMetric"	1
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"ObjectPropertiesWithNoNameMetric"	NaN
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"DataPropertiesWithNoNameMetric"	NaN
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"DataPropertiesWithNoDescriptionMetric"	NaN
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"DataPropertiesWithNoSynonymMetric"	NaN
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"AnnotationPropertiesWithNoNameMetric"	1
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"https://kos.lifewatch.eu/thesauri/zooplanktontraits/"	"AnnotationPropertiesWithNoSynonymMetric"	1
