Ontology	Metric	Value
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"NumberOfLexicalRegularitiesMetric"	7
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"NumberOfLexicalRegularityClassesMetric"	3
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"LexicalRegularitiesPerClassMetric"	0.194
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"LexicalRegularityClassPercentageMetric"	0.083
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"LexicallySuggestLogicallyDefineMetric"	1
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"SystematicNamingMetric"	0.175
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"NumberOfClassesMetric"	36
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"NamesPerPropertyMetric"	0.755
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"SynonymsPerClassMetric"	0.111
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"SynonymsPerPropertyMetric"	0.094
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"SynonymsPerObjectPropertyMetric"	0.125
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"DescriptionsPerClassMetric"	1
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"DescriptionsPerPropertyMetric"	0.755
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"DescriptionsPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"ClassesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"ClassesWithNoSynonymMetric"	0.889
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.875
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
