Ontology	Metric	Value
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"LexicalRegularitiesPerClassMetric"	0
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"LexicalRegularityClassPercentageMetric"	0
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"SystematicNamingMetric"	NaN
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"NumberOfClassesMetric"	41
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"NamesPerClassMetric"	0
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"NamesPerPropertyMetric"	0
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"DescriptionsPerAnnotationPropertyMetric"	NaN
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"NamesPerDataPropertyMetric"	0
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"NamesPerObjectPropertyMetric"	0
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"SynonymsPerClassMetric"	0
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"SynonymsPerPropertyMetric"	0
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"SynonymsPerAnnotationPropertyMetric"	NaN
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"SynonymsPerDataPropertyMetric"	0
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"SynonymsPerObjectPropertyMetric"	0
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"DescriptionsPerClassMetric"	0
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"DescriptionsPerPropertyMetric"	0
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"DescriptionsPerAnnotationPropertyMetric"	NaN
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"DescriptionsPerDataPropertyMetric"	0
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"DescriptionsPerObjectPropertyMetric"	0
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"ClassesWithNoNameMetric"	1
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"ClassesWithNoDescriptionMetric"	1
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"ClassesWithNoSynonymMetric"	1
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"ObjectPropertiesWithNoNameMetric"	1
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"DataPropertiesWithNoNameMetric"	1
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"DataPropertiesWithNoDescriptionMetric"	1
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"AnnotationPropertiesWithNoNameMetric"	NaN
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"AnnotationPropertiesWithNoDescriptionMetric"	NaN
"http://www.falcon.org/ontologies/upper-ontology-concepts"	"AnnotationPropertiesWithNoSynonymMetric"	NaN
