Ontology	Metric	Value
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"NumberOfLexicalRegularitiesMetric"	1
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"LexicalRegularitiesPerClassMetric"	0.001
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"SystematicNamingMetric"	NaN
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"NumberOfClassesMetric"	875
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"NamesPerClassMetric"	1.989
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"NamesPerPropertyMetric"	1.815
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"NamesPerDataPropertyMetric"	1.958
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"NamesPerObjectPropertyMetric"	1.897
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"SynonymsPerClassMetric"	0.134
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"SynonymsPerPropertyMetric"	0.033
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"SynonymsPerDataPropertyMetric"	0.032
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"SynonymsPerObjectPropertyMetric"	0.038
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"DescriptionsPerClassMetric"	0.214
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"DescriptionsPerPropertyMetric"	0.522
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.545
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"DescriptionsPerDataPropertyMetric"	0.484
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"DescriptionsPerObjectPropertyMetric"	0.564
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"ClassesWithNoNameMetric"	0.006
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"ClassesWithNoDescriptionMetric"	0.81
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"ClassesWithNoSynonymMetric"	0.895
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"ObjectPropertiesWithNoNameMetric"	0.051
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.718
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.974
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"DataPropertiesWithNoNameMetric"	0.021
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"DataPropertiesWithNoDescriptionMetric"	0.758
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"DataPropertiesWithNoSynonymMetric"	0.968
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.727
"http://www.aidimme.es/FurnitureSectorOntology.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
