Ontology	Metric	Value
"http://purl.org/gi2mo/ns"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.org/gi2mo/ns"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.org/gi2mo/ns"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.org/gi2mo/ns"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.org/gi2mo/ns"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.org/gi2mo/ns"	"SystematicNamingMetric"	NaN
"http://purl.org/gi2mo/ns"	"NumberOfClassesMetric"	27
"http://purl.org/gi2mo/ns"	"NamesPerClassMetric"	0.852
"http://purl.org/gi2mo/ns"	"NamesPerPropertyMetric"	0.914
"http://purl.org/gi2mo/ns"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.org/gi2mo/ns"	"NamesPerDataPropertyMetric"	0.929
"http://purl.org/gi2mo/ns"	"NamesPerObjectPropertyMetric"	0.976
"http://purl.org/gi2mo/ns"	"SynonymsPerClassMetric"	0
"http://purl.org/gi2mo/ns"	"SynonymsPerPropertyMetric"	0
"http://purl.org/gi2mo/ns"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.org/gi2mo/ns"	"SynonymsPerDataPropertyMetric"	0
"http://purl.org/gi2mo/ns"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.org/gi2mo/ns"	"DescriptionsPerClassMetric"	0.852
"http://purl.org/gi2mo/ns"	"DescriptionsPerPropertyMetric"	0.94
"http://purl.org/gi2mo/ns"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.org/gi2mo/ns"	"DescriptionsPerDataPropertyMetric"	1
"http://purl.org/gi2mo/ns"	"DescriptionsPerObjectPropertyMetric"	0.988
"http://purl.org/gi2mo/ns"	"ClassesWithNoNameMetric"	0.148
"http://purl.org/gi2mo/ns"	"ClassesWithNoDescriptionMetric"	0.148
"http://purl.org/gi2mo/ns"	"ClassesWithNoSynonymMetric"	1
"http://purl.org/gi2mo/ns"	"ObjectPropertiesWithNoNameMetric"	0.024
"http://purl.org/gi2mo/ns"	"ObjectPropertiesWithNoDescriptionMetric"	0.012
"http://purl.org/gi2mo/ns"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.org/gi2mo/ns"	"DataPropertiesWithNoNameMetric"	0.057
"http://purl.org/gi2mo/ns"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.org/gi2mo/ns"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.org/gi2mo/ns"	"AnnotationPropertiesWithNoNameMetric"	1
"http://purl.org/gi2mo/ns"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.org/gi2mo/ns"	"AnnotationPropertiesWithNoSynonymMetric"	1
