Ontology	Metric	Value
"http://www.grace.com"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.grace.com"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.grace.com"	"LexicalRegularitiesPerClassMetric"	0
"http://www.grace.com"	"LexicalRegularityClassPercentageMetric"	0
"http://www.grace.com"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.grace.com"	"SystematicNamingMetric"	NaN
"http://www.grace.com"	"NumberOfClassesMetric"	21
"http://www.grace.com"	"NamesPerClassMetric"	0
"http://www.grace.com"	"NamesPerPropertyMetric"	0
"http://www.grace.com"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.grace.com"	"NamesPerDataPropertyMetric"	0
"http://www.grace.com"	"NamesPerObjectPropertyMetric"	0
"http://www.grace.com"	"SynonymsPerClassMetric"	0
"http://www.grace.com"	"SynonymsPerPropertyMetric"	0
"http://www.grace.com"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.grace.com"	"SynonymsPerDataPropertyMetric"	0
"http://www.grace.com"	"SynonymsPerObjectPropertyMetric"	0
"http://www.grace.com"	"DescriptionsPerClassMetric"	0.85
"http://www.grace.com"	"DescriptionsPerPropertyMetric"	0.578
"http://www.grace.com"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.grace.com"	"DescriptionsPerDataPropertyMetric"	0.697
"http://www.grace.com"	"DescriptionsPerObjectPropertyMetric"	0.5
"http://www.grace.com"	"ClassesWithNoNameMetric"	1
"http://www.grace.com"	"ClassesWithNoDescriptionMetric"	0.15
"http://www.grace.com"	"ClassesWithNoSynonymMetric"	1
"http://www.grace.com"	"ObjectPropertiesWithNoNameMetric"	1
"http://www.grace.com"	"ObjectPropertiesWithNoDescriptionMetric"	0.5
"http://www.grace.com"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.grace.com"	"DataPropertiesWithNoNameMetric"	1
"http://www.grace.com"	"DataPropertiesWithNoDescriptionMetric"	0.303
"http://www.grace.com"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.grace.com"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.grace.com"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.grace.com"	"AnnotationPropertiesWithNoSynonymMetric"	1
