Ontology	Metric	Value
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"NumberOfLexicalRegularitiesMetric"	1
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"NumberOfLexicalRegularityClassesMetric"	1
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"LexicalRegularitiesPerClassMetric"	0.014
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"LexicalRegularityClassPercentageMetric"	0.014
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"LexicallySuggestLogicallyDefineMetric"	0
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"SystematicNamingMetric"	NaN
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"NumberOfClassesMetric"	73
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"NamesPerClassMetric"	0.736
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"NamesPerPropertyMetric"	0.712
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"DescriptionsPerAnnotationPropertyMetric"	0.447
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"NamesPerDataPropertyMetric"	0.905
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"NamesPerObjectPropertyMetric"	0.944
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"SynonymsPerClassMetric"	0.014
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"SynonymsPerPropertyMetric"	0.01
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"SynonymsPerAnnotationPropertyMetric"	0
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"SynonymsPerDataPropertyMetric"	0
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"SynonymsPerObjectPropertyMetric"	0.028
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"DescriptionsPerClassMetric"	0.625
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"DescriptionsPerPropertyMetric"	0.625
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"DescriptionsPerAnnotationPropertyMetric"	0.298
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"DescriptionsPerDataPropertyMetric"	0.905
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"DescriptionsPerObjectPropertyMetric"	0.889
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"ClassesWithNoNameMetric"	0.319
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"ClassesWithNoDescriptionMetric"	0.542
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"ClassesWithNoSynonymMetric"	0.986
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"ObjectPropertiesWithNoNameMetric"	0.139
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"ObjectPropertiesWithNoDescriptionMetric"	0.222
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"ObjectPropertiesWithNoSynonymMetric"	0.972
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"DataPropertiesWithNoNameMetric"	0.095
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"DataPropertiesWithNoDescriptionMetric"	0.143
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"DataPropertiesWithNoSynonymMetric"	1
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"AnnotationPropertiesWithNoNameMetric"	0.574
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"AnnotationPropertiesWithNoDescriptionMetric"	0.723
"https://w3id.org/i40/sto/iot/0.1/concerns/"	"AnnotationPropertiesWithNoSynonymMetric"	1
