Ontology	Metric	Value
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"NumberOfLexicalRegularitiesMetric"	0
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"NumberOfLexicalRegularityClassesMetric"	0
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"LexicalRegularitiesPerClassMetric"	0
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"LexicalRegularityClassPercentageMetric"	0
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"SystematicNamingMetric"	NaN
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"NumberOfClassesMetric"	1
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"NamesPerClassMetric"	1
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"NamesPerPropertyMetric"	0.936
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"DescriptionsPerAnnotationPropertyMetric"	0.957
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"NamesPerDataPropertyMetric"	NaN
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"NamesPerObjectPropertyMetric"	NaN
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"SynonymsPerClassMetric"	0
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"SynonymsPerPropertyMetric"	0
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"SynonymsPerAnnotationPropertyMetric"	0
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"SynonymsPerDataPropertyMetric"	NaN
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"SynonymsPerObjectPropertyMetric"	NaN
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"DescriptionsPerClassMetric"	1
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"DescriptionsPerPropertyMetric"	0.957
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"DescriptionsPerAnnotationPropertyMetric"	0.957
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"DescriptionsPerDataPropertyMetric"	NaN
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"DescriptionsPerObjectPropertyMetric"	NaN
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"ClassesWithNoNameMetric"	0
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"ClassesWithNoDescriptionMetric"	0
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"ClassesWithNoSynonymMetric"	1
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"ObjectPropertiesWithNoNameMetric"	NaN
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"DataPropertiesWithNoNameMetric"	NaN
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"DataPropertiesWithNoDescriptionMetric"	NaN
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"DataPropertiesWithNoSynonymMetric"	NaN
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"AnnotationPropertiesWithNoNameMetric"	0.043
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"AnnotationPropertiesWithNoDescriptionMetric"	0.064
"https://spec.industrialontologies.org/ontology/202301/core/meta/AnnotationVocabulary/"	"AnnotationPropertiesWithNoSynonymMetric"	1
