Ontology	Metric	Value
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"NumberOfLexicalRegularitiesMetric"	3
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"NumberOfLexicalRegularityClassesMetric"	0
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"LexicalRegularitiesPerClassMetric"	0.033
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"LexicalRegularityClassPercentageMetric"	0
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"SystematicNamingMetric"	NaN
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"NumberOfClassesMetric"	92
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"NamesPerClassMetric"	1.217
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"NamesPerPropertyMetric"	1.275
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"DescriptionsPerAnnotationPropertyMetric"	1
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"NamesPerDataPropertyMetric"	1
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"NamesPerObjectPropertyMetric"	1.359
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"SynonymsPerClassMetric"	0.043
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"SynonymsPerPropertyMetric"	0.02
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"SynonymsPerAnnotationPropertyMetric"	0
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"SynonymsPerDataPropertyMetric"	0
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"SynonymsPerObjectPropertyMetric"	0.026
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"DescriptionsPerClassMetric"	0.217
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"DescriptionsPerPropertyMetric"	0.5
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"DescriptionsPerAnnotationPropertyMetric"	1
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"DescriptionsPerDataPropertyMetric"	0
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"DescriptionsPerObjectPropertyMetric"	0.359
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"ClassesWithNoNameMetric"	0
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"ClassesWithNoDescriptionMetric"	0.783
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"ClassesWithNoSynonymMetric"	0.957
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"ObjectPropertiesWithNoNameMetric"	0
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"ObjectPropertiesWithNoDescriptionMetric"	0.641
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"ObjectPropertiesWithNoSynonymMetric"	0.974
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"DataPropertiesWithNoNameMetric"	0
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"DataPropertiesWithNoDescriptionMetric"	1
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"DataPropertiesWithNoSynonymMetric"	1
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"AnnotationPropertiesWithNoNameMetric"	0
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"AnnotationPropertiesWithNoDescriptionMetric"	0
"https://spec.industrialontologies.org/ontology/202301/core/Core/"	"AnnotationPropertiesWithNoSynonymMetric"	1
