Ontology	Metric	Value
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"NumberOfLexicalRegularitiesMetric"	2
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"NumberOfLexicalRegularityClassesMetric"	0
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"LexicalRegularitiesPerClassMetric"	0.012
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"LexicalRegularityClassPercentageMetric"	0
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"SystematicNamingMetric"	NaN
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"NumberOfClassesMetric"	166
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"NamesPerClassMetric"	1.072
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"NamesPerPropertyMetric"	1.184
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"DescriptionsPerAnnotationPropertyMetric"	0.786
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"NamesPerDataPropertyMetric"	1
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"NamesPerObjectPropertyMetric"	1.393
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"SynonymsPerClassMetric"	0.012
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"SynonymsPerPropertyMetric"	0.046
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"SynonymsPerAnnotationPropertyMetric"	0
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"SynonymsPerDataPropertyMetric"	0
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"SynonymsPerObjectPropertyMetric"	0.071
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"DescriptionsPerClassMetric"	0.084
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"DescriptionsPerPropertyMetric"	0.506
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"DescriptionsPerAnnotationPropertyMetric"	0.786
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"DescriptionsPerDataPropertyMetric"	0
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"DescriptionsPerObjectPropertyMetric"	0.393
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"ClassesWithNoNameMetric"	0
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"ClassesWithNoDescriptionMetric"	0.916
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"ClassesWithNoSynonymMetric"	0.988
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"ObjectPropertiesWithNoNameMetric"	0
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"ObjectPropertiesWithNoDescriptionMetric"	0.607
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"ObjectPropertiesWithNoSynonymMetric"	0.929
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"DataPropertiesWithNoNameMetric"	0
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"DataPropertiesWithNoDescriptionMetric"	1
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"DataPropertiesWithNoSynonymMetric"	1
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"AnnotationPropertiesWithNoNameMetric"	0.536
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"AnnotationPropertiesWithNoDescriptionMetric"	0.536
"https://spec.industrialontologies.org/ontology/202301/supplychain/SupplyChainReferenceOntology/"	"AnnotationPropertiesWithNoSynonymMetric"	1
