Ontology	Metric	Value
"http://www.manunetwork.com/manuservice/v1#"	"NumberOfLexicalRegularitiesMetric"	2
"http://www.manunetwork.com/manuservice/v1#"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.manunetwork.com/manuservice/v1#"	"LexicalRegularitiesPerClassMetric"	0.019
"http://www.manunetwork.com/manuservice/v1#"	"LexicalRegularityClassPercentageMetric"	0
"http://www.manunetwork.com/manuservice/v1#"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.manunetwork.com/manuservice/v1#"	"SystematicNamingMetric"	NaN
"http://www.manunetwork.com/manuservice/v1#"	"NumberOfClassesMetric"	104
"http://www.manunetwork.com/manuservice/v1#"	"NamesPerClassMetric"	0.913
"http://www.manunetwork.com/manuservice/v1#"	"NamesPerPropertyMetric"	0.942
"http://www.manunetwork.com/manuservice/v1#"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.manunetwork.com/manuservice/v1#"	"NamesPerDataPropertyMetric"	0.967
"http://www.manunetwork.com/manuservice/v1#"	"NamesPerObjectPropertyMetric"	1
"http://www.manunetwork.com/manuservice/v1#"	"SynonymsPerClassMetric"	0
"http://www.manunetwork.com/manuservice/v1#"	"SynonymsPerPropertyMetric"	0
"http://www.manunetwork.com/manuservice/v1#"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.manunetwork.com/manuservice/v1#"	"SynonymsPerDataPropertyMetric"	0
"http://www.manunetwork.com/manuservice/v1#"	"SynonymsPerObjectPropertyMetric"	0
"http://www.manunetwork.com/manuservice/v1#"	"DescriptionsPerClassMetric"	0
"http://www.manunetwork.com/manuservice/v1#"	"DescriptionsPerPropertyMetric"	0.004
"http://www.manunetwork.com/manuservice/v1#"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.manunetwork.com/manuservice/v1#"	"DescriptionsPerDataPropertyMetric"	0.005
"http://www.manunetwork.com/manuservice/v1#"	"DescriptionsPerObjectPropertyMetric"	0
"http://www.manunetwork.com/manuservice/v1#"	"ClassesWithNoNameMetric"	0.087
"http://www.manunetwork.com/manuservice/v1#"	"ClassesWithNoDescriptionMetric"	1
"http://www.manunetwork.com/manuservice/v1#"	"ClassesWithNoSynonymMetric"	1
"http://www.manunetwork.com/manuservice/v1#"	"ObjectPropertiesWithNoNameMetric"	0
"http://www.manunetwork.com/manuservice/v1#"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://www.manunetwork.com/manuservice/v1#"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.manunetwork.com/manuservice/v1#"	"DataPropertiesWithNoNameMetric"	0.033
"http://www.manunetwork.com/manuservice/v1#"	"DataPropertiesWithNoDescriptionMetric"	0.995
"http://www.manunetwork.com/manuservice/v1#"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.manunetwork.com/manuservice/v1#"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.manunetwork.com/manuservice/v1#"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.manunetwork.com/manuservice/v1#"	"AnnotationPropertiesWithNoSynonymMetric"	1
