Ontology	Metric	Value
"http://infoneer.txstate.edu/ontology/MSDL"	"NumberOfLexicalRegularitiesMetric"	1
"http://infoneer.txstate.edu/ontology/MSDL"	"NumberOfLexicalRegularityClassesMetric"	1
"http://infoneer.txstate.edu/ontology/MSDL"	"LexicalRegularitiesPerClassMetric"	0.002
"http://infoneer.txstate.edu/ontology/MSDL"	"LexicalRegularityClassPercentageMetric"	0.002
"http://infoneer.txstate.edu/ontology/MSDL"	"NumberOfClassesMetric"	422
"http://infoneer.txstate.edu/ontology/MSDL"	"NamesPerClassMetric"	1.021
"http://infoneer.txstate.edu/ontology/MSDL"	"NamesPerPropertyMetric"	1
"http://infoneer.txstate.edu/ontology/MSDL"	"DescriptionsPerAnnotationPropertyMetric"	0.778
"http://infoneer.txstate.edu/ontology/MSDL"	"NamesPerDataPropertyMetric"	NaN
"http://infoneer.txstate.edu/ontology/MSDL"	"NamesPerObjectPropertyMetric"	1.017
"http://infoneer.txstate.edu/ontology/MSDL"	"SynonymsPerClassMetric"	0.002
"http://infoneer.txstate.edu/ontology/MSDL"	"SynonymsPerPropertyMetric"	0.032
"http://infoneer.txstate.edu/ontology/MSDL"	"SynonymsPerAnnotationPropertyMetric"	0
"http://infoneer.txstate.edu/ontology/MSDL"	"SynonymsPerDataPropertyMetric"	NaN
"http://infoneer.txstate.edu/ontology/MSDL"	"SynonymsPerObjectPropertyMetric"	0.035
"http://infoneer.txstate.edu/ontology/MSDL"	"DescriptionsPerClassMetric"	0.171
"http://infoneer.txstate.edu/ontology/MSDL"	"DescriptionsPerPropertyMetric"	0.161
"http://infoneer.txstate.edu/ontology/MSDL"	"DescriptionsPerAnnotationPropertyMetric"	0.444
"http://infoneer.txstate.edu/ontology/MSDL"	"DescriptionsPerDataPropertyMetric"	NaN
"http://infoneer.txstate.edu/ontology/MSDL"	"DescriptionsPerObjectPropertyMetric"	0.139
"http://infoneer.txstate.edu/ontology/MSDL"	"ClassesWithNoNameMetric"	0.002
"http://infoneer.txstate.edu/ontology/MSDL"	"ClassesWithNoDescriptionMetric"	0.841
"http://infoneer.txstate.edu/ontology/MSDL"	"ClassesWithNoSynonymMetric"	0.998
"http://infoneer.txstate.edu/ontology/MSDL"	"ObjectPropertiesWithNoNameMetric"	0.017
"http://infoneer.txstate.edu/ontology/MSDL"	"ObjectPropertiesWithNoDescriptionMetric"	0.878
"http://infoneer.txstate.edu/ontology/MSDL"	"ObjectPropertiesWithNoSynonymMetric"	0.965
"http://infoneer.txstate.edu/ontology/MSDL"	"DataPropertiesWithNoNameMetric"	NaN
"http://infoneer.txstate.edu/ontology/MSDL"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://infoneer.txstate.edu/ontology/MSDL"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://infoneer.txstate.edu/ontology/MSDL"	"AnnotationPropertiesWithNoNameMetric"	0.333
"http://infoneer.txstate.edu/ontology/MSDL"	"AnnotationPropertiesWithNoDescriptionMetric"	0.556
"http://infoneer.txstate.edu/ontology/MSDL"	"AnnotationPropertiesWithNoSynonymMetric"	1
