Ontology	Metric	Value
"https://saref.etsi.org/core/v3.1.1/"	"NumberOfLexicalRegularitiesMetric"	3
"https://saref.etsi.org/core/v3.1.1/"	"NumberOfLexicalRegularityClassesMetric"	3
"https://saref.etsi.org/core/v3.1.1/"	"LexicalRegularitiesPerClassMetric"	0.037
"https://saref.etsi.org/core/v3.1.1/"	"LexicalRegularityClassPercentageMetric"	0.037
"https://saref.etsi.org/core/v3.1.1/"	"LexicallySuggestLogicallyDefineMetric"	1
"https://saref.etsi.org/core/v3.1.1/"	"SystematicNamingMetric"	1
"https://saref.etsi.org/core/v3.1.1/"	"NumberOfClassesMetric"	81
"https://saref.etsi.org/core/v3.1.1/"	"NamesPerClassMetric"	1
"https://saref.etsi.org/core/v3.1.1/"	"NamesPerPropertyMetric"	0.722
"https://saref.etsi.org/core/v3.1.1/"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://saref.etsi.org/core/v3.1.1/"	"NamesPerDataPropertyMetric"	1
"https://saref.etsi.org/core/v3.1.1/"	"NamesPerObjectPropertyMetric"	1
"https://saref.etsi.org/core/v3.1.1/"	"SynonymsPerClassMetric"	0
"https://saref.etsi.org/core/v3.1.1/"	"SynonymsPerPropertyMetric"	0
"https://saref.etsi.org/core/v3.1.1/"	"SynonymsPerAnnotationPropertyMetric"	0
"https://saref.etsi.org/core/v3.1.1/"	"SynonymsPerDataPropertyMetric"	0
"https://saref.etsi.org/core/v3.1.1/"	"SynonymsPerObjectPropertyMetric"	0
"https://saref.etsi.org/core/v3.1.1/"	"DescriptionsPerClassMetric"	1
"https://saref.etsi.org/core/v3.1.1/"	"DescriptionsPerPropertyMetric"	0.722
"https://saref.etsi.org/core/v3.1.1/"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://saref.etsi.org/core/v3.1.1/"	"DescriptionsPerDataPropertyMetric"	1
"https://saref.etsi.org/core/v3.1.1/"	"DescriptionsPerObjectPropertyMetric"	1
"https://saref.etsi.org/core/v3.1.1/"	"ClassesWithNoNameMetric"	0
"https://saref.etsi.org/core/v3.1.1/"	"ClassesWithNoDescriptionMetric"	0
"https://saref.etsi.org/core/v3.1.1/"	"ClassesWithNoSynonymMetric"	1
"https://saref.etsi.org/core/v3.1.1/"	"ObjectPropertiesWithNoNameMetric"	0
"https://saref.etsi.org/core/v3.1.1/"	"ObjectPropertiesWithNoDescriptionMetric"	0
"https://saref.etsi.org/core/v3.1.1/"	"ObjectPropertiesWithNoSynonymMetric"	1
"https://saref.etsi.org/core/v3.1.1/"	"DataPropertiesWithNoNameMetric"	0
"https://saref.etsi.org/core/v3.1.1/"	"DataPropertiesWithNoDescriptionMetric"	0
"https://saref.etsi.org/core/v3.1.1/"	"DataPropertiesWithNoSynonymMetric"	1
"https://saref.etsi.org/core/v3.1.1/"	"AnnotationPropertiesWithNoNameMetric"	1
"https://saref.etsi.org/core/v3.1.1/"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"https://saref.etsi.org/core/v3.1.1/"	"AnnotationPropertiesWithNoSynonymMetric"	1
