Ontology	Metric	Value
"http://www.Z-bre4k.org/ontology"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.Z-bre4k.org/ontology"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.Z-bre4k.org/ontology"	"LexicalRegularitiesPerClassMetric"	0
"http://www.Z-bre4k.org/ontology"	"LexicalRegularityClassPercentageMetric"	0
"http://www.Z-bre4k.org/ontology"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.Z-bre4k.org/ontology"	"SystematicNamingMetric"	NaN
"http://www.Z-bre4k.org/ontology"	"NumberOfClassesMetric"	55
"http://www.Z-bre4k.org/ontology"	"NamesPerClassMetric"	1
"http://www.Z-bre4k.org/ontology"	"NamesPerPropertyMetric"	0
"http://www.Z-bre4k.org/ontology"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.Z-bre4k.org/ontology"	"NamesPerDataPropertyMetric"	0
"http://www.Z-bre4k.org/ontology"	"NamesPerObjectPropertyMetric"	0
"http://www.Z-bre4k.org/ontology"	"SynonymsPerClassMetric"	0
"http://www.Z-bre4k.org/ontology"	"SynonymsPerPropertyMetric"	0
"http://www.Z-bre4k.org/ontology"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.Z-bre4k.org/ontology"	"SynonymsPerDataPropertyMetric"	0
"http://www.Z-bre4k.org/ontology"	"SynonymsPerObjectPropertyMetric"	0
"http://www.Z-bre4k.org/ontology"	"DescriptionsPerClassMetric"	0
"http://www.Z-bre4k.org/ontology"	"DescriptionsPerPropertyMetric"	0
"http://www.Z-bre4k.org/ontology"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.Z-bre4k.org/ontology"	"DescriptionsPerDataPropertyMetric"	0
"http://www.Z-bre4k.org/ontology"	"DescriptionsPerObjectPropertyMetric"	0
"http://www.Z-bre4k.org/ontology"	"ClassesWithNoNameMetric"	0
"http://www.Z-bre4k.org/ontology"	"ClassesWithNoDescriptionMetric"	1
"http://www.Z-bre4k.org/ontology"	"ClassesWithNoSynonymMetric"	1
"http://www.Z-bre4k.org/ontology"	"ObjectPropertiesWithNoNameMetric"	1
"http://www.Z-bre4k.org/ontology"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://www.Z-bre4k.org/ontology"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.Z-bre4k.org/ontology"	"DataPropertiesWithNoNameMetric"	1
"http://www.Z-bre4k.org/ontology"	"DataPropertiesWithNoDescriptionMetric"	1
"http://www.Z-bre4k.org/ontology"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.Z-bre4k.org/ontology"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.Z-bre4k.org/ontology"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.Z-bre4k.org/ontology"	"AnnotationPropertiesWithNoSynonymMetric"	1
