Ontology	Metric	Value
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"LexicalRegularitiesPerClassMetric"	0
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"LexicalRegularityClassPercentageMetric"	0
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"SystematicNamingMetric"	NaN
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"NumberOfClassesMetric"	85
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"NamesPerClassMetric"	0
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"NamesPerPropertyMetric"	0
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"NamesPerDataPropertyMetric"	NaN
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"NamesPerObjectPropertyMetric"	0
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"SynonymsPerClassMetric"	0
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"SynonymsPerPropertyMetric"	0
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"SynonymsPerDataPropertyMetric"	NaN
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"SynonymsPerObjectPropertyMetric"	0
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"DescriptionsPerClassMetric"	0.024
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"DescriptionsPerPropertyMetric"	0
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"DescriptionsPerDataPropertyMetric"	NaN
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"DescriptionsPerObjectPropertyMetric"	0
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"ClassesWithNoNameMetric"	1
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"ClassesWithNoDescriptionMetric"	0.976
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"ClassesWithNoSynonymMetric"	1
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"ObjectPropertiesWithNoNameMetric"	1
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"DataPropertiesWithNoNameMetric"	NaN
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122"	"AnnotationPropertiesWithNoSynonymMetric"	1
