Ontology	Metric	Value
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"NumberOfLexicalRegularitiesMetric"	0
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"LexicalRegularitiesPerClassMetric"	0
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"LexicalRegularityClassPercentageMetric"	0
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"SystematicNamingMetric"	NaN
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"NumberOfClassesMetric"	179
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"NamesPerClassMetric"	1.05
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"NamesPerPropertyMetric"	0.5
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.375
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"NamesPerDataPropertyMetric"	NaN
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"NamesPerObjectPropertyMetric"	1
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"SynonymsPerClassMetric"	0
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"SynonymsPerPropertyMetric"	0
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"SynonymsPerDataPropertyMetric"	NaN
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"SynonymsPerObjectPropertyMetric"	0
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"DescriptionsPerClassMetric"	0.955
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"DescriptionsPerPropertyMetric"	0.2
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.125
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"DescriptionsPerObjectPropertyMetric"	0.5
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"ClassesWithNoNameMetric"	0
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"ClassesWithNoDescriptionMetric"	0.078
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"ClassesWithNoSynonymMetric"	1
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"ObjectPropertiesWithNoNameMetric"	0
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.5
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"DataPropertiesWithNoNameMetric"	NaN
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"AnnotationPropertiesWithNoNameMetric"	0.625
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.875
"https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/LPBFO/-/raw/master/LPBFO.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
