Ontology	Metric	Value
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"NumberOfLexicalRegularitiesMetric"	0
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"LexicalRegularitiesPerClassMetric"	0
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"LexicalRegularityClassPercentageMetric"	0
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"SystematicNamingMetric"	NaN
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"NumberOfClassesMetric"	58
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"NamesPerClassMetric"	1
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"NamesPerPropertyMetric"	0.99
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"NamesPerDataPropertyMetric"	1
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"NamesPerObjectPropertyMetric"	1
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"SynonymsPerClassMetric"	0
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"SynonymsPerPropertyMetric"	0
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"SynonymsPerDataPropertyMetric"	0
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"SynonymsPerObjectPropertyMetric"	0
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"DescriptionsPerClassMetric"	0
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"DescriptionsPerPropertyMetric"	0
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"DescriptionsPerDataPropertyMetric"	0
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"DescriptionsPerObjectPropertyMetric"	0
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"ClassesWithNoNameMetric"	0
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"ClassesWithNoDescriptionMetric"	1
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"ClassesWithNoSynonymMetric"	1
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"ObjectPropertiesWithNoNameMetric"	0
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"DataPropertiesWithNoNameMetric"	0
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"DataPropertiesWithNoDescriptionMetric"	1
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"DataPropertiesWithNoSynonymMetric"	1
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"https://raw.githubusercontent.com/daimoners/MAMBO/master/mambo.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
