Ontology	Metric	Value
"https://w3id.org/pmd/co"	"NumberOfLexicalRegularitiesMetric"	0
"https://w3id.org/pmd/co"	"NumberOfLexicalRegularityClassesMetric"	0
"https://w3id.org/pmd/co"	"LexicalRegularitiesPerClassMetric"	0
"https://w3id.org/pmd/co"	"LexicalRegularityClassPercentageMetric"	0
"https://w3id.org/pmd/co"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://w3id.org/pmd/co"	"SystematicNamingMetric"	NaN
"https://w3id.org/pmd/co"	"NumberOfClassesMetric"	264
"https://w3id.org/pmd/co"	"NamesPerClassMetric"	1.943
"https://w3id.org/pmd/co"	"NamesPerPropertyMetric"	0.609
"https://w3id.org/pmd/co"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://w3id.org/pmd/co"	"NamesPerDataPropertyMetric"	1.125
"https://w3id.org/pmd/co"	"NamesPerObjectPropertyMetric"	0.857
"https://w3id.org/pmd/co"	"SynonymsPerClassMetric"	0.019
"https://w3id.org/pmd/co"	"SynonymsPerPropertyMetric"	0.25
"https://w3id.org/pmd/co"	"SynonymsPerAnnotationPropertyMetric"	0
"https://w3id.org/pmd/co"	"SynonymsPerDataPropertyMetric"	0
"https://w3id.org/pmd/co"	"SynonymsPerObjectPropertyMetric"	0.457
"https://w3id.org/pmd/co"	"DescriptionsPerClassMetric"	1.572
"https://w3id.org/pmd/co"	"DescriptionsPerPropertyMetric"	0.531
"https://w3id.org/pmd/co"	"DescriptionsPerAnnotationPropertyMetric"	0.238
"https://w3id.org/pmd/co"	"DescriptionsPerDataPropertyMetric"	1
"https://w3id.org/pmd/co"	"DescriptionsPerObjectPropertyMetric"	0.6
"https://w3id.org/pmd/co"	"ClassesWithNoNameMetric"	0.008
"https://w3id.org/pmd/co"	"ClassesWithNoDescriptionMetric"	0.045
"https://w3id.org/pmd/co"	"ClassesWithNoSynonymMetric"	0.989
"https://w3id.org/pmd/co"	"ObjectPropertiesWithNoNameMetric"	0.143
"https://w3id.org/pmd/co"	"ObjectPropertiesWithNoDescriptionMetric"	0.429
"https://w3id.org/pmd/co"	"ObjectPropertiesWithNoSynonymMetric"	0.543
"https://w3id.org/pmd/co"	"DataPropertiesWithNoNameMetric"	0
"https://w3id.org/pmd/co"	"DataPropertiesWithNoDescriptionMetric"	0
"https://w3id.org/pmd/co"	"DataPropertiesWithNoSynonymMetric"	1
"https://w3id.org/pmd/co"	"AnnotationPropertiesWithNoNameMetric"	1
"https://w3id.org/pmd/co"	"AnnotationPropertiesWithNoDescriptionMetric"	0.762
"https://w3id.org/pmd/co"	"AnnotationPropertiesWithNoSynonymMetric"	1
