Ontology	Metric	Value
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"NumberOfLexicalRegularitiesMetric"	0
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"NumberOfLexicalRegularityClassesMetric"	0
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"LexicalRegularitiesPerClassMetric"	0
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"LexicalRegularityClassPercentageMetric"	0
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"SystematicNamingMetric"	NaN
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"NumberOfClassesMetric"	1082
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"NamesPerClassMetric"	0.058
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"NamesPerPropertyMetric"	0.033
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"NamesPerDataPropertyMetric"	0
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"NamesPerObjectPropertyMetric"	0.045
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"SynonymsPerClassMetric"	0
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"SynonymsPerPropertyMetric"	0
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"SynonymsPerAnnotationPropertyMetric"	0
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"SynonymsPerDataPropertyMetric"	0
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"SynonymsPerObjectPropertyMetric"	0
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"DescriptionsPerClassMetric"	0.654
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"DescriptionsPerPropertyMetric"	0.433
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"DescriptionsPerDataPropertyMetric"	0.309
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"DescriptionsPerObjectPropertyMetric"	0.488
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"ClassesWithNoNameMetric"	0.942
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"ClassesWithNoDescriptionMetric"	0.363
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"ClassesWithNoSynonymMetric"	1
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"ObjectPropertiesWithNoNameMetric"	0.955
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"ObjectPropertiesWithNoDescriptionMetric"	0.512
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"ObjectPropertiesWithNoSynonymMetric"	1
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"DataPropertiesWithNoNameMetric"	1
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"DataPropertiesWithNoDescriptionMetric"	0.691
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"DataPropertiesWithNoSynonymMetric"	1
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"AnnotationPropertiesWithNoNameMetric"	1
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"https://purl.vimmp.eu/semantics/combined/combined-vimmp-ontologies.ttl"	"AnnotationPropertiesWithNoSynonymMetric"	1
