Repository;Ontology;CreationDate;Format;Filename;Done;OQUARE.xml;OQUARE.ttl;HURON_long.tsv;HURON_wide.tsv;HURON.ttl;FILE_OK;IRIOquare;IRIHuron;IRI_OK;OK;Length;URL
data.agroportal.lirmm.fr;AAO;20240416;OWL;aao-20240416-owl__aao-ver-4-06.ttl;T;F;F;T;T;T;F;;;F;F;312495;https://data.agroportal.lirmm.fr/ontologies/AAO/submissions/2
data.agroportal.lirmm.fr;ADW;20240503;OWL;adw-20240503-owl__ADW-ontology.owl;T;F;F;T;T;T;F;;http://www.owl-ontologies.com/unnamed.owl;F;F;149094;https://data.agroportal.lirmm.fr/ontologies/ADW/submissions/2
data.agroportal.lirmm.fr;AFO;20181227;SKOS;afo-20181227-skos__afo-skos.rdf;T;T;T;T;T;T;T;file:///home/jredondo/tfm/production/2-metrics/ttl_back/data.agroportal.lirmm.fr/--;;F;F;21980345;https://data.agroportal.lirmm.fr/ontologies/AFO/submissions/2
data.agroportal.lirmm.fr;AGFOOD;20230710;SKOS;agfood-20230710-skos__Agroalimentaire-SKOS.xml;T;T;T;T;T;T;T;http://data.loterre.fr/ark:/67375/Q1W;http://data.loterre.fr/ark:/67375/Q1W;T;T;4678354;https://data.agroportal.lirmm.fr/ontologies/AGFOOD/submissions/1
data.agroportal.lirmm.fr;AGRORDF;20171010;OWL;agrordf-20171010-owl__xml.owl;T;F;F;T;T;T;F;;;F;F;144119;https://data.agroportal.lirmm.fr/ontologies/AGRORDF/submissions/1
data.agroportal.lirmm.fr;AGROVOC;20240503;SKOS;agrovoc-20240503-skos__agrovoc-lod.nt;T;F;F;T;T;T;F;;http://aims.fao.org/aos/agrovoc/;F;F;78626167;https://data.agroportal.lirmm.fr/ontologies/AGROVOC/submissions/45
data.agroportal.lirmm.fr;ANDO;20181114;OWL;ando-20181114-owl__AnimalDiseasesOntology-v3.1-allClasses.xml;T;F;F;T;T;T;F;;http://opendata.inra.fr/AnimalDiseasesOnto/Ando;F;F;1916270;https://data.agroportal.lirmm.fr/ontologies/ANDO/submissions/4
data.agroportal.lirmm.fr;ANT;20171016;OWL;ant-20171016-owl__at.owl;T;F;F;T;T;T;F;;http://data.ifpri.org/lod/at/resource/;F;F;48959;https://data.agroportal.lirmm.fr/ontologies/ANT/submissions/1
data.agroportal.lirmm.fr;ASCOPAIN-T;20171019;SKOS;ascopain-t-20171019-skos__AscoPain-T-1.0.rdf;T;T;T;T;T;T;T;http://opendata.inra.fr/AsCoPainT/AsCoPain-T;http://opendata.inra.fr/AsCoPainT/AsCoPain-T;T;T;77612;https://data.agroportal.lirmm.fr/ontologies/ASCOPAIN-T/submissions/1
data.agroportal.lirmm.fr;ASFA;20230712;SKOS;asfa-20230712-skos__asfa.rdf;T;F;F;T;T;T;F;;http://aims.fao.org/aos/agrovoc/;F;F;108916169;https://data.agroportal.lirmm.fr/ontologies/ASFA/submissions/1
