ontologyAcronym,metricAcronym,result
ADW,APWND,1.0E0
ADW,APWNN,1.0E0
ADW,APWNS,1.0E0
ADW,CWND,4.889503E-1
ADW,CWNN,5.552486E-1
ADW,CWNS,1.0E0
ADW,DPWND,9.666667E-1
ADW,DPWNN,8.5E-1
ADW,DPWNS,1.0E0
ADW,DxAP,0.0E0
ADW,DxAP,0.0E0
ADW,DxC,5.110497E-1
ADW,DxDP,3.333333E-2
ADW,DxOP,6.666667E-2
ADW,DxP,1.392405E-1
ADW,DxP,3.797468E-2
ADW,LRClassPCT,0.0E0
ADW,LRsxC,0.0E0
ADW,LSLD,NaN
ADW,NLR,0.0E0
ADW,NLRC,0.0E0
ADW,NxC,4.447514E-1
ADW,NxDP,1.5E-1
ADW,NxOP,1.333333E-1
ADW,OPWND,9.333333E-1
ADW,OPWNN,8.666667E-1
ADW,OPWNS,1.0E0
ADW,SYSNAM,NaN
ADW,SxAP,0.0E0
ADW,SxC,0.0E0
ADW,SxC,0.0E0
ADW,SxDP,0.0E0
ADW,SxOP,0.0E0
AFO,ANOnto,7.5E-1
AFO,ANOnto,0.0E0
AFO,ANOnto,3.457217E-3
AFO,ANOnto,0.0E0
AFO,ANOnto,7.0E-1
AFO,ANOnto,4.396552E-1
AFO,ANOnto,0.0E0
AFO,ANOnto,9.895954E-1
AFO,AROnto,1.75E0
AFO,AROnto,0.0E0
AFO,AROnto,1.998271E0
AFO,AROnto,0.0E0
AFO,AROnto,2.0E0
AFO,AROnto,1.99569E0
AFO,AROnto,0.0E0
AFO,AROnto,0.0E0
AFO,CBOOnto,2.333333E0
AFO,CBOOnto,2.0E0
AFO,CBOOnto,1.002602E0
AFO,CBOOnto,7.0E0
AFO,CBOOnto,1.285714E0
AFO,CBOOnto,1.006522E0
AFO,CBOOnto,1.007937E0
AFO,CBOOnto,1.293413E0
AFO,CROnto,3.998875E3
AFO,CROnto,2.2E1
AFO,CROnto,9.870354E-1
AFO,CROnto,7.17375E2
AFO,CROnto,8.4003E3
AFO,CROnto,9.676724E-1
AFO,CROnto,0.0E0
AFO,CROnto,9.976879E-1
AFO,DITOnto,3.0E0
AFO,DITOnto,2.0E0
AFO,DITOnto,4.0E0
AFO,DITOnto,2.0E0
AFO,DITOnto,3.0E0
AFO,DITOnto,4.0E0
AFO,DITOnto,9.0E0
AFO,DITOnto,8.0E0
AFO,INROnto,8.75E-1
AFO,INROnto,6.666667E-1
AFO,INROnto,9.991357E-1
AFO,INROnto,8.75E-1
AFO,INROnto,9.0E-1
AFO,INROnto,9.978448E-1
AFO,INROnto,9.921875E-1
AFO,INROnto,9.988439E-1
AFO,LCOMOnto,1.333333E0
AFO,LCOMOnto,1.0E0
AFO,LCOMOnto,2.328993E0
AFO,LCOMOnto,1.0E0
AFO,LCOMOnto,1.75E0
AFO,LCOMOnto,2.322368E0
AFO,LCOMOnto,5.085366E0
AFO,LCOMOnto,4.315789E0
AFO,NACOnto,1.0E0
AFO,NACOnto,1.0E0
AFO,NACOnto,1.0E0
AFO,NACOnto,1.0E0
AFO,NACOnto,1.0E0
AFO,NACOnto,1.0E0
AFO,NACOnto,1.0E0
AFO,NACOnto,1.0E0
AFO,NOCOnto,3.5E0
AFO,NOCOnto,2.0E0
AFO,NOCOnto,2.312E2
AFO,NOCOnto,7.0E0
AFO,NOCOnto,4.5E0
AFO,NOCOnto,5.7875E1
AFO,NOCOnto,2.76087E0
AFO,NOCOnto,6.967742E0
AFO,NOMOnto,2.27575E3
AFO,NOMOnto,0.0E0
AFO,NOMOnto,6.568712E-1
AFO,NOMOnto,0.0E0
AFO,NOMOnto,9.6782E3
AFO,NOMOnto,6.37931E-1
AFO,NOMOnto,0.0E0
AFO,NOMOnto,0.0E0
AFO,POnto,2.5E-1
AFO,POnto,0.0E0
AFO,POnto,9.956785E-1
AFO,POnto,0.0E0
AFO,POnto,6.0E-1
AFO,POnto,9.892241E-1
AFO,POnto,9.921875E-1
AFO,POnto,7.872832E-1
AFO,PROnto,9.996157E-1
AFO,PROnto,0.0E0
AFO,PROnto,3.966597E-1
AFO,PROnto,0.0E0
AFO,PROnto,9.99907E-1
AFO,PROnto,3.899868E-1
AFO,PROnto,0.0E0
AFO,PROnto,0.0E0
AFO,RFCOnto,2.276625E3
AFO,RFCOnto,6.666667E-1
AFO,RFCOnto,1.656007E0
AFO,RFCOnto,8.75E-1
AFO,RFCOnto,9.6791E3
AFO,RFCOnto,1.635776E0
AFO,RFCOnto,9.921875E-1
AFO,RFCOnto,9.988439E-1
AFO,RROnto,3.843409E-4
AFO,RROnto,1.0E0
AFO,RROnto,6.033403E-1
AFO,RROnto,1.0E0
AFO,RROnto,9.298385E-5
AFO,RROnto,6.100132E-1
AFO,RROnto,1.0E0
AFO,RROnto,1.0E0
AFO,TMOnto,0.0E0
AFO,TMOnto,0.0E0
AFO,TMOnto,0.0E0
AFO,TMOnto,0.0E0
AFO,TMOnto,0.0E0
AFO,TMOnto,0.0E0
AFO,TMOnto,0.0E0
AFO,TMOnto,1.62037E-2
AFO,TMOnto2,0.0E0
AFO,TMOnto2,0.0E0
AFO,TMOnto2,0.0E0
