ontologyAcronym,metricAcronym,result
AGFOOD,ANOnto,0.0E0
AGFOOD,APWND,1.0E0
AGFOOD,APWNN,1.0E0
AGFOOD,APWNS,1.0E0
AGFOOD,AROnto,0.0E0
AGFOOD,CBOOnto,4.0E0
AGFOOD,CROnto,6.558E2
AGFOOD,CWND,1.0E0
AGFOOD,CWNN,1.0E0
AGFOOD,CWNS,1.0E0
AGFOOD,DITOnto,2.0E0
AGFOOD,DPWND,NaN
AGFOOD,DPWNN,NaN
AGFOOD,DPWNS,NaN
AGFOOD,DxC,0.0E0
AGFOOD,DxDP,NaN
AGFOOD,DxOP,NaN
AGFOOD,DxP,0.0E0
AGFOOD,INROnto,8.0E-1
AGFOOD,LCOMOnto,1.0E0
AGFOOD,LRClassPCT,0.0E0
AGFOOD,LRsxC,0.0E0
AGFOOD,LSLD,NaN
AGFOOD,NACOnto,1.0E0
AGFOOD,NLR,0.0E0
AGFOOD,NLRC,0.0E0
AGFOOD,NOCOnto,4.0E0
AGFOOD,NOMOnto,0.0E0
AGFOOD,NxC,0.0E0
AGFOOD,NxDP,NaN
AGFOOD,NxOP,NaN
AGFOOD,NxP,0.0E0
AGFOOD,OPWND,NaN
AGFOOD,OPWNN,NaN
AGFOOD,OPWNS,NaN
AGFOOD,POnto,0.0E0
AGFOOD,PROnto,0.0E0
AGFOOD,RFCOnto,8.0E-1
AGFOOD,RROnto,1.0E0
AGFOOD,SYSNAM,NaN
AGFOOD,SxAP,0.0E0
AGFOOD,SxC,0.0E0
AGFOOD,SxDP,NaN
AGFOOD,SxOP,NaN
AGFOOD,SxP,0.0E0
AGFOOD,TMOnto,0.0E0
AGFOOD,TMOnto2,0.0E0
AGFOOD,WMCOnto,1.0E0
AGFOOD,WMCOnto2,1.0E0
ASCOPAIN-T,ANOnto,0.0E0
ASCOPAIN-T,APWND,1.0E0
ASCOPAIN-T,APWNN,1.0E0
ASCOPAIN-T,APWNS,1.0E0
ASCOPAIN-T,AROnto,0.0E0
ASCOPAIN-T,CBOOnto,2.0E0
ASCOPAIN-T,CROnto,2.9E1
ASCOPAIN-T,CWND,1.0E0
ASCOPAIN-T,CWNN,1.0E0
ASCOPAIN-T,CWNS,1.0E0
ASCOPAIN-T,DITOnto,2.0E0
ASCOPAIN-T,DPWND,NaN
ASCOPAIN-T,DPWNN,NaN
ASCOPAIN-T,DPWNS,NaN
ASCOPAIN-T,DxC,0.0E0
ASCOPAIN-T,DxDP,NaN
ASCOPAIN-T,DxOP,NaN
ASCOPAIN-T,DxP,0.0E0
ASCOPAIN-T,INROnto,6.666667E-1
ASCOPAIN-T,LCOMOnto,1.0E0
ASCOPAIN-T,LRClassPCT,0.0E0
ASCOPAIN-T,LRsxC,0.0E0
ASCOPAIN-T,LSLD,NaN
ASCOPAIN-T,NACOnto,1.0E0
ASCOPAIN-T,NLR,0.0E0
ASCOPAIN-T,NLRC,0.0E0
ASCOPAIN-T,NOCOnto,2.0E0
ASCOPAIN-T,NOMOnto,0.0E0
ASCOPAIN-T,NxC,0.0E0
ASCOPAIN-T,NxDP,NaN
ASCOPAIN-T,NxOP,NaN
ASCOPAIN-T,NxP,0.0E0
ASCOPAIN-T,OPWND,NaN
ASCOPAIN-T,OPWNN,NaN
ASCOPAIN-T,OPWNS,NaN
ASCOPAIN-T,POnto,0.0E0
ASCOPAIN-T,PROnto,0.0E0
ASCOPAIN-T,RFCOnto,6.666667E-1
ASCOPAIN-T,RROnto,1.0E0
ASCOPAIN-T,SYSNAM,NaN
ASCOPAIN-T,SxAP,0.0E0
ASCOPAIN-T,SxC,0.0E0
ASCOPAIN-T,SxDP,NaN
ASCOPAIN-T,SxOP,NaN
ASCOPAIN-T,SxP,0.0E0
ASCOPAIN-T,TMOnto,0.0E0
ASCOPAIN-T,TMOnto2,0.0E0
ASCOPAIN-T,WMCOnto,1.0E0
ASCOPAIN-T,WMCOnto2,1.0E0
ATOL,ANOnto,1.991925E0
ATOL,APWND,1.0E0
ATOL,APWNN,1.0E0
ATOL,APWNS,1.0E0
ATOL,AROnto,0.0E0
ATOL,CBOOnto,1.036155E0
ATOL,CROnto,0.0E0
ATOL,CWND,1.0E0
ATOL,CWNN,0.0E0
ATOL,CWNS,5.085034E-1
ATOL,DITOnto,1.4E1
ATOL,DPWND,NaN
ATOL,DPWNN,NaN
ATOL,DPWNS,NaN
ATOL,DxC,0.0E0
ATOL,DxDP,NaN
ATOL,DxOP,NaN
ATOL,DxP,0.0E0
ATOL,INROnto,1.035274E0
ATOL,LCOMOnto,7.858995E0
ATOL,LRClassPCT,0.0E0
ATOL,LRsxC,2.55102E-3
ATOL,LSLD,NaN
ATOL,NACOnto,1.030266E0
ATOL,NLR,6.0E0
ATOL,NLRC,0.0E0
ATOL,NOCOnto,3.475036E0
ATOL,NOMOnto,0.0E0
ATOL,NxC,2.0E0
ATOL,NxDP,NaN
ATOL,NxOP,NaN
ATOL,NxP,0.0E0
ATOL,OPWND,NaN
ATOL,OPWNN,NaN
