ontologyAcronym,metricAcronym,result
ABA-AMB,ANOnto,9.978118E-1
ABA-AMB,APWND,1.0E0
ABA-AMB,APWNN,1.0E0
ABA-AMB,APWNS,1.0E0
ABA-AMB,AROnto,9.989059E-1
ABA-AMB,CBOOnto,1.001096E0
ABA-AMB,CROnto,0.0E0
ABA-AMB,CWND,9.978094E-1
ABA-AMB,CWNN,2.190581E-3
ABA-AMB,CWNS,1.0E0
ABA-AMB,DITOnto,1.1E1
ABA-AMB,DPWND,NaN
ABA-AMB,DPWNN,NaN
ABA-AMB,DPWNS,NaN
ABA-AMB,DxAP,0.0E0
ABA-AMB,DxAP,0.0E0
ABA-AMB,DxC,2.190581E-3
ABA-AMB,DxDP,NaN
ABA-AMB,DxOP,0.0E0
ABA-AMB,DxP,0.0E0
ABA-AMB,DxP,0.0E0
ABA-AMB,INROnto,9.989059E-1
ABA-AMB,LCOMOnto,8.193007E0
ABA-AMB,LRClassPCT,0.0E0
ABA-AMB,LRsxC,9.857612E-3
ABA-AMB,LSLD,NaN
ABA-AMB,NACOnto,1.0E0
ABA-AMB,NLR,9.0E0
ABA-AMB,NLRC,0.0E0
ABA-AMB,NOCOnto,4.58794E0
ABA-AMB,NOMOnto,8.752735E-3
ABA-AMB,NxC,9.978094E-1
ABA-AMB,NxDP,NaN
ABA-AMB,NxOP,0.0E0
ABA-AMB,OPWND,1.0E0
ABA-AMB,OPWNN,1.0E0
ABA-AMB,OPWNS,1.0E0
ABA-AMB,POnto,9.967177E-1
ABA-AMB,PROnto,8.686211E-3
ABA-AMB,RFCOnto,1.007659E0
ABA-AMB,RROnto,9.913138E-1
ABA-AMB,SYSNAM,NaN
ABA-AMB,SxAP,0.0E0
ABA-AMB,SxC,0.0E0
ABA-AMB,SxC,0.0E0
ABA-AMB,SxDP,NaN
ABA-AMB,SxOP,0.0E0
ABA-AMB,TMOnto,0.0E0
ABA-AMB,TMOnto2,0.0E0
ABA-AMB,WMCOnto,8.193007E0
ABA-AMB,WMCOnto2,1.0E0
ADAR,APWND,5.3125E-1
ADAR,APWNN,5.3125E-1
ADAR,APWNS,1.0E0
ADAR,CWND,7.316456E-1
ADAR,CWNN,8.329114E-1
ADAR,CWNS,1.0E0
ADAR,DPWND,3.0E-2
ADAR,DPWNN,9.978571E-1
ADAR,DPWNS,1.0E0
ADAR,DxAP,9.375E-1
ADAR,DxAP,4.6875E-1
ADAR,DxC,3.417722E-1
ADAR,DxDP,9.7E-1
ADAR,DxOP,0.0E0
ADAR,DxP,1.689189E-2
ADAR,DxP,9.378378E-1
ADAR,LRClassPCT,0.0E0
ADAR,LRsxC,0.0E0
ADAR,LSLD,NaN
ADAR,NLR,0.0E0
ADAR,NLRC,0.0E0
ADAR,NxC,1.670886E-1
ADAR,NxDP,2.142857E-3
ADAR,NxOP,1.458333E-1
ADAR,OPWND,1.0E0
ADAR,OPWNN,8.541667E-1
ADAR,OPWNS,1.0E0
ADAR,SYSNAM,NaN
ADAR,SxAP,0.0E0
ADAR,SxC,0.0E0
ADAR,SxC,0.0E0
ADAR,SxDP,0.0E0
ADAR,SxOP,0.0E0
ADCAD,ANOnto,9.852941E-1
ADCAD,APWND,1.0E0
ADCAD,APWNN,1.0E0
ADCAD,APWNS,1.0E0
ADCAD,AROnto,0.0E0
ADCAD,CBOOnto,1.0E0
ADCAD,CROnto,0.0E0
ADCAD,CWND,1.0E0
ADCAD,CWNN,0.0E0
ADCAD,CWNS,1.0E0
ADCAD,DITOnto,8.0E0
ADCAD,DPWND,NaN
ADCAD,DPWNN,NaN
ADCAD,DPWNS,NaN
ADCAD,DxAP,0.0E0
ADCAD,DxAP,0.0E0
ADCAD,DxC,0.0E0
ADCAD,DxDP,NaN
ADCAD,DxOP,NaN
