ontologyAcronym,metricAcronym,result
ATOL,ANOnto,1.991925E0
ATOL,APWND,1.0E0
ATOL,APWNN,1.0E0
ATOL,APWNS,1.0E0
ATOL,AROnto,0.0E0
ATOL,CBOOnto,1.036155E0
ATOL,CROnto,0.0E0
ATOL,CWND,1.0E0
ATOL,CWNN,0.0E0
ATOL,CWNS,5.085034E-1
ATOL,DITOnto,1.4E1
ATOL,DPWND,NaN
ATOL,DPWNN,NaN
ATOL,DPWNS,NaN
ATOL,DxAP,0.0E0
ATOL,DxAP,0.0E0
ATOL,DxC,0.0E0
ATOL,DxDP,NaN
ATOL,DxOP,NaN
ATOL,DxP,0.0E0
ATOL,DxP,0.0E0
ATOL,INROnto,1.035274E0
ATOL,LCOMOnto,7.858995E0
ATOL,LRClassPCT,0.0E0
ATOL,LRsxC,2.55102E-3
ATOL,LSLD,NaN
ATOL,NACOnto,1.030266E0
ATOL,NLR,6.0E0
ATOL,NLRC,0.0E0
ATOL,NOCOnto,3.475036E0
ATOL,NOMOnto,0.0E0
ATOL,NxC,2.0E0
ATOL,NxDP,NaN
ATOL,NxOP,NaN
ATOL,OPWND,NaN
ATOL,OPWNN,NaN
ATOL,OPWNS,NaN
ATOL,POnto,1.035274E0
ATOL,PROnto,0.0E0
ATOL,RFCOnto,1.035274E0
ATOL,RROnto,1.0E0
ATOL,SYSNAM,NaN
ATOL,SxAP,0.0E0
ATOL,SxC,9.953231E-1
ATOL,SxC,0.0E0
ATOL,SxDP,NaN
ATOL,SxOP,NaN
ATOL,TMOnto,3.231293E-2
ATOL,TMOnto2,2.131579E0
ATOL,WMCOnto,8.80569E0
ATOL,WMCOnto2,1.12046E0
BCO,ANOnto,1.208661E0
BCO,APWND,6.666667E-1
BCO,APWNN,5.959596E-1
BCO,APWNS,9.89899E-1
BCO,AROnto,4.991732E1
BCO,CBOOnto,1.873913E0
BCO,CROnto,2.519685E-1
BCO,CWND,3.0E-1
BCO,CWNN,4.761905E-2
BCO,CWNS,7.857143E-1
BCO,DITOnto,3.6E1
BCO,DPWND,0.0E0
BCO,DPWNN,0.0E0
BCO,DPWNS,1.0E0
BCO,DxAP,4.242424E-1
BCO,DxAP,4.848485E-1
BCO,DxC,8.199052E-1
BCO,DxDP,1.0E0
BCO,DxOP,9.528302E-1
BCO,DxP,9.10828E-1
BCO,DxP,8.683652E-1
BCO,INROnto,1.059055E0
BCO,LCOMOnto,4.875598E0
BCO,LRClassPCT,9.478673E-3
BCO,LRsxC,2.843602E-2
BCO,LSLD,9.714286E-1
BCO,NACOnto,1.049383E0
BCO,NLR,6.0E0
BCO,NLRC,2.0E0
BCO,NOCOnto,2.923913E0
BCO,NOMOnto,4.704724E0
BCO,NxC,9.668246E-1
BCO,NxDP,1.0E0
BCO,NxOP,1.084906E0
BCO,OPWND,1.531532E-1
BCO,OPWNN,9.009009E-3
BCO,OPWNS,6.756757E-1
BCO,POnto,9.685039E-1
BCO,PROnto,8.162568E-1
BCO,RFCOnto,6.401575E0
BCO,RROnto,1.837432E-1
BCO,SYSNAM,6.938776E-1
BCO,SxAP,1.010101E-2
BCO,SxC,3.696682E-1
BCO,SxC,1.231423E-1
BCO,SxDP,0.0E0
BCO,SxOP,5.377358E-1
BCO,TMOnto,3.952569E-2
BCO,TMOnto2,2.1E0
BCO,WMCOnto,6.290123E0
BCO,WMCOnto2,1.290123E0
BIOBANK,ANOnto,9.995706E-1
BIOBANK,ANOnto,9.99925E-1
BIOBANK,AROnto,0.0E0
BIOBANK,AROnto,0.0E0
BIOBANK,CBOOnto,1.00043E0
BIOBANK,CBOOnto,1.000075E0
BIOBANK,CROnto,0.0E0
BIOBANK,CROnto,0.0E0
BIOBANK,DITOnto,7.0E0
BIOBANK,DITOnto,6.0E0
BIOBANK,INROnto,9.995706E-1
BIOBANK,INROnto,9.99925E-1
BIOBANK,LCOMOnto,5.980583E0
BIOBANK,LCOMOnto,4.998601E0
BIOBANK,NACOnto,1.0E0
BIOBANK,NACOnto,1.0E0
BIOBANK,NOCOnto,2.129918E0
BIOBANK,NOCOnto,5.102142E0
BIOBANK,NOMOnto,0.0E0
BIOBANK,NOMOnto,0.0E0
BIOBANK,POnto,9.987119E-1
BIOBANK,POnto,9.997751E-1
BIOBANK,PROnto,0.0E0
BIOBANK,PROnto,0.0E0
BIOBANK,RFCOnto,9.995706E-1
BIOBANK,RFCOnto,9.99925E-1
BIOBANK,RROnto,1.0E0
BIOBANK,RROnto,1.0E0
BIOBANK,TMOnto,0.0E0
BIOBANK,TMOnto,0.0E0
BIOBANK,TMOnto2,0.0E0
BIOBANK,TMOnto2,0.0E0
BIOBANK,WMCOnto,5.980583E0
BIOBANK,WMCOnto,4.998601E0
BIOBANK,WMCOnto2,1.0E0
BIOBANK,WMCOnto2,1.0E0
