ontologyAcronym,metricAcronym,result
AER_PJT,ANOnto,0.0E0
AER_PJT,APWND,1.0E0
AER_PJT,APWNN,1.0E0
AER_PJT,APWNS,1.0E0
AER_PJT,AROnto,0.0E0
AER_PJT,CBOOnto,3.0E0
AER_PJT,CROnto,3.65E1
AER_PJT,CWND,1.0E0
AER_PJT,CWNN,1.0E0
AER_PJT,CWNS,1.0E0
AER_PJT,DITOnto,2.0E0
AER_PJT,DPWND,NaN
AER_PJT,DPWNN,NaN
AER_PJT,DPWNS,NaN
AER_PJT,DxC,0.0E0
AER_PJT,DxDP,NaN
AER_PJT,DxOP,NaN
AER_PJT,DxP,0.0E0
AER_PJT,INROnto,7.5E-1
AER_PJT,LCOMOnto,1.0E0
AER_PJT,LRClassPCT,0.0E0
AER_PJT,LRsxC,0.0E0
AER_PJT,LSLD,NaN
AER_PJT,NACOnto,1.0E0
AER_PJT,NLR,0.0E0
AER_PJT,NLRC,0.0E0
AER_PJT,NOCOnto,3.0E0
AER_PJT,NOMOnto,0.0E0
AER_PJT,NxC,0.0E0
AER_PJT,NxDP,NaN
AER_PJT,NxOP,NaN
AER_PJT,NxP,0.0E0
AER_PJT,OPWND,NaN
AER_PJT,OPWNN,NaN
AER_PJT,OPWNS,NaN
AER_PJT,POnto,0.0E0
AER_PJT,PROnto,0.0E0
AER_PJT,RFCOnto,7.5E-1
AER_PJT,RROnto,1.0E0
AER_PJT,SYSNAM,NaN
AER_PJT,SxAP,0.0E0
AER_PJT,SxC,0.0E0
AER_PJT,SxDP,NaN
AER_PJT,SxOP,NaN
AER_PJT,SxP,0.0E0
AER_PJT,TMOnto,0.0E0
AER_PJT,TMOnto2,0.0E0
AER_PJT,WMCOnto,1.0E0
AER_PJT,WMCOnto2,1.0E0
ARG,ANOnto,4.150943E-1
ARG,APWND,6.428571E-1
ARG,APWNN,6.428571E-1
ARG,APWNS,1.0E0
ARG,AROnto,2.975472E1
ARG,CBOOnto,1.6E0
ARG,CROnto,7.54717E-2
ARG,CWND,3.888889E-1
ARG,CWNN,3.888889E-1
ARG,CWNS,1.0E0
ARG,DITOnto,3.0E0
ARG,DPWND,8.823529E-1
ARG,DPWNN,8.823529E-1
ARG,DPWNS,1.0E0
ARG,DxC,9.444444E-1
ARG,DxDP,1.176471E-1
ARG,DxOP,1.076923E0
ARG,DxP,5.227273E-1
ARG,INROnto,1.207547E0
ARG,LCOMOnto,1.584906E0
ARG,LRClassPCT,0.0E0
ARG,LRsxC,0.0E0
ARG,LSLD,NaN
ARG,NACOnto,1.292683E0
ARG,NLR,0.0E0
ARG,NLRC,0.0E0
ARG,NOCOnto,5.333333E0
ARG,NOMOnto,1.207547E0
ARG,NxC,6.666667E-1
ARG,NxDP,1.176471E-1
ARG,NxOP,1.0E0
ARG,NxP,4.545455E-1
ARG,OPWND,0.0E0
ARG,OPWNN,0.0E0
ARG,OPWNS,1.0E0
ARG,POnto,3.773585E-2
ARG,PROnto,5.0E-1
ARG,RFCOnto,2.415094E0
ARG,RROnto,5.0E-1
ARG,SYSNAM,NaN
ARG,SxAP,0.0E0
ARG,SxC,0.0E0
ARG,SxDP,0.0E0
ARG,SxOP,0.0E0
ARG,SxP,0.0E0
ARG,TMOnto,0.0E0
ARG,TMOnto2,0.0E0
ARG,WMCOnto,2.04878E0
ARG,WMCOnto2,1.292683E0
EASYDATA_KW,ANOnto,0.0E0
EASYDATA_KW,APWND,1.0E0
EASYDATA_KW,APWNN,1.0E0
EASYDATA_KW,APWNS,1.0E0
EASYDATA_KW,AROnto,0.0E0
EASYDATA_KW,CBOOnto,1.1E1
EASYDATA_KW,CROnto,2.13E2
EASYDATA_KW,CWND,1.0E0
EASYDATA_KW,CWNN,1.0E0
EASYDATA_KW,CWNS,1.0E0
EASYDATA_KW,DITOnto,2.0E0
EASYDATA_KW,DPWND,NaN
EASYDATA_KW,DPWNN,NaN
EASYDATA_KW,DPWNS,NaN
EASYDATA_KW,DxC,0.0E0
EASYDATA_KW,DxDP,NaN
EASYDATA_KW,DxOP,NaN
EASYDATA_KW,DxP,0.0E0
EASYDATA_KW,INROnto,9.166667E-1
EASYDATA_KW,LCOMOnto,1.0E0
EASYDATA_KW,LRClassPCT,0.0E0
EASYDATA_KW,LRsxC,0.0E0
EASYDATA_KW,LSLD,NaN
EASYDATA_KW,NACOnto,1.0E0
EASYDATA_KW,NLR,0.0E0
EASYDATA_KW,NLRC,0.0E0
EASYDATA_KW,NOCOnto,1.1E1
