ontologyAcronym,metricAcronym,result
BFO,ANOnto,9.72973E-1
BFO,APWND,1.0E0
BFO,APWNN,1.0E0
BFO,APWNS,1.0E0
BFO,AROnto,1.121622E1
BFO,CBOOnto,1.0E0
BFO,CROnto,0.0E0
BFO,CWND,0.0E0
BFO,CWNN,0.0E0
BFO,CWNS,8.888889E-1
BFO,DITOnto,7.0E0
BFO,DPWND,NaN
BFO,DPWNN,NaN
BFO,DPWNS,NaN
BFO,DxAP,0.0E0
BFO,DxAP,0.0E0
BFO,DxC,1.0E0
BFO,DxDP,NaN
BFO,DxOP,1.0E0
BFO,DxP,7.54717E-1
BFO,DxP,7.54717E-1
BFO,INROnto,9.72973E-1
BFO,LCOMOnto,5.05E0
BFO,LRClassPCT,8.333333E-2
BFO,LRsxC,1.944444E-1
BFO,LSLD,1.0E0
BFO,NACOnto,1.0E0
BFO,NLR,7.0E0
BFO,NLRC,3.0E0
BFO,NOCOnto,2.117647E0
BFO,NOMOnto,5.675676E0
BFO,NxC,1.0E0
BFO,NxDP,NaN
BFO,NxOP,1.0E0
BFO,OPWND,0.0E0
BFO,OPWNN,0.0E0
BFO,OPWNS,8.75E-1
BFO,POnto,9.459459E-1
BFO,PROnto,8.536585E-1
BFO,RFCOnto,6.648649E0
BFO,RROnto,1.463415E-1
BFO,SYSNAM,1.746032E-1
BFO,SxAP,0.0E0
BFO,SxC,1.111111E-1
BFO,SxC,9.433962E-2
BFO,SxDP,NaN
BFO,SxOP,1.25E-1
BFO,TMOnto,0.0E0
BFO,TMOnto2,0.0E0
BFO,WMCOnto,5.05E0
BFO,WMCOnto2,1.0E0
CCO,ANOnto,1.077574E0
CCO,APWND,1.0E0
CCO,APWNN,4.042553E-1
CCO,APWNS,1.0E0
CCO,AROnto,4.720028E1
CCO,CBOOnto,1.004234E0
CCO,CROnto,2.454161E-1
CCO,CWND,8.941426E-1
CCO,CWNN,0.0E0
CCO,CWNS,9.971771E-1
CCO,DITOnto,1.3E1
CCO,DPWND,8.333333E-1
CCO,DPWNN,0.0E0
CCO,DPWNS,1.0E0
CCO,DxAP,0.0E0
CCO,DxAP,5.957447E-1
CCO,DxC,1.107975E-1
CCO,DxDP,1.666667E-1
CCO,DxOP,1.793893E-1
CCO,DxP,9.53271E-1
CCO,DxP,1.52648E-1
CCO,INROnto,1.003526E0
CCO,LCOMOnto,7.606621E0
CCO,LRClassPCT,7.057163E-4
CCO,LRsxC,2.117149E-3
CCO,LSLD,9.716312E-1
CCO,NACOnto,1.00297E0
