"Metric","Cluster_anova_k_2","Cluster_anova_k_3"
"ANOnto","83.0153365905974","191.476676305619"
"APWND","282.670842189362","232.334744143919"
"APWNN","125.112896489645","283.105309237515"
"APWNS","",""
"AROnto","125.927359353077","97.6470056994443"
"CBOOnto","129.28543377413","318.830478001443"
"CROnto","136.076318308997","956.787790716605"
"DITOnto","39.6913313290364","76.5808694583185"
"DxP","88.0146822637643","176.564756355"
"INROnto","12.4974464486359","77.2885562876672"
"LCOMOnto","74.3235682901341","94.593814657605"
"NACOnto","62.4992353793258","110.230023962042"
"NLR","48.7097079394517","53.3908831982086"
"NLRC","99.0381312263827","99.2426187419769"
"NOCOnto","105.565913561379","181.037899917348"
"NOMOnto","3835669.12805894","45071677.2993345"
"NxP","78.092707593269","164.463497327544"
"POnto","151.126677310506","136.717414606735"
"PROnto","112.058756228167","130.819667550168"
"RFCOnto","3773725.82253903","45489894.2489965"
"RROnto","112.058755587342","130.819671210726"
"SxAP","",""
"SxP","140.459157806272",""
"TMOnto","118.263784024386","130.329267102206"
"TMOnto2","1797.85854789757","5190.83817992225"
"WMCOnto","39.8357098071119","171.081755914949"
"WMCOnto2","43.8337588584109","23.6233874899737"
