"Metric","Cluster_mean_k_2","Cluster_mean_k_3"
"ANOnto","0.977777777777778, 0.976470588235294","0.914920634920635, 0.9875, 0.958782051282051"
"APWND","0.99375, 0.95","0.928836353069763, 0.885, 0.525989157676801"
"APWNN","0.99375, 0.9975","0.98452380952381, 0.993933823529412, 1"
"APWNS","",""
"AROnto","0.95, 0.992","0.95, 0.896888993583703, 0.790741341991342"
"CBOOnto","0.65, 0.972972525558732","0.75, 0.785, 0.91695896816549"
"CROnto","0.984564874988413, 0.65","0.94652372104546, 0.7, 0.55"
"DITOnto","0.778360182005234, 0.868990035975078","0.820914571539572, 0.865472015729369, 0.55"
"DxP","0.987820512820513, 0.990208333333333","0.895, 0.983958333333333, 0.961363636363636"
"INROnto","0.835698207783665, 0.356540501726428","0.985097308488613, 0.9325, 0.983333333333333"
"LCOMOnto","0.906953671328671, 0.928776080945199","0.961111111111111, 0.996428571428571, 0.967777777777778"
"NACOnto","0.726666666666667, 0.966564587281229","0.55, 0.726666666666667, 0.915634707101526"
"NLR","0.97018315018315, 0.89762987012987","0.682353896103896, 0.694166666666667, 0.90421958695759"
"NLRC","0.965967948717949, 0.885555555555556","0.913812452253629, 0.653333333333333, 0.770992063492064"
"NOCOnto","0.783333333333333, 0.979655836916706","0.575, 0.897665056360708, 0.833333333333333"
"NOMOnto","0.65, 0.986074727205162","0.65, 0.841527375201288, 0.6"
"NxP","0.901728184096605, 0.820389332889333","0.94204822954823, 0.928331807081807, 1"
"POnto","0.988737468671679, 0.977061688311688","0.827330366357069, 0.859323593073593, 0.434234307359307"
"PROnto","1, 1","0.93974358974359, 0.933044871794872, 0.875980392156863"
"RFCOnto","0.65, 0.986074727205162","0.65, 0.838053422006945, 0.65"
"RROnto","1, 1","0.93974358974359, 0.933044871794872, 0.875980392156863"
"SxAP","",""
"SxP","0.9, 0.989720862470862",""
"TMOnto","0.983333333333333, 0.998","0.858333333333333, 0.861010540184453, 0.659848484848485"
"TMOnto2","1, 1","1, 0.973153145873734, 0.833333333333333"
"WMCOnto","0.771666666666667, 0.967612876254181","0.802222222222222, 0.785835194596064, 0.55"
"WMCOnto2","0.664423076923077, 0.96493994532038","0.905071926449363, 0.479691620355236, 0.741666666666667"
