"Metric","Mean_stability_k_2","Mean_stability_k_3"
"ANOnto","0.977124183006536","0.953734228734229"
"APWND","0.971875","0.779941836915521"
"APWNN","0.995625","0.99281921101774"
"APWNS",NA,NA
"AROnto","0.971","0.879210111858348"
"CBOOnto","0.811486262779366","0.817319656055163"
"CROnto","0.817282437494207","0.73217457368182"
"DITOnto","0.823675108990156","0.745462195756313"
"DxP","0.989014423076923","0.94677398989899"
"INROnto","0.596119354755047","0.966976880607315"
"LCOMOnto","0.917864876136935","0.97510582010582"
"NACOnto","0.846615626973948","0.730767124589398"
"NLR","0.93390651015651","0.760246716576051"
"NLRC","0.925761752136752","0.779379283026342"
"NOCOnto","0.88149458512502","0.768666129898014"
"NOMOnto","0.818037363602581","0.697175791733763"
"NxP","0.861058758492969","0.956793345543345"
"POnto","0.982899578491684","0.706962755596657"
"PROnto","1","0.916256284565108"
"RFCOnto","0.818037363602581","0.712684474002315"
"RROnto","1","0.916256284565108"
"SxAP",NA,NA
"SxP","0.944860431235431",NA
"TMOnto","0.990666666666667","0.793064119455424"
"TMOnto2","1","0.935495493069022"
"WMCOnto","0.869639771460424","0.712685805606096"
"WMCOnto2","0.814681511121728","0.708810071157088"
