"Description","ANOnto","APWND","APWNN","APWNS","AROnto","CBOOnto","CROnto","CWND","CWNN","CWNS","DITOnto","DxC","DxP","INROnto","LCOMOnto","LRClassPCT","LRsxC","NACOnto","NLR","NLRC","NOCOnto","NOMOnto","NxC","NxP","POnto","PROnto","RFCOnto","RROnto","SxAP","SxC","SxP","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
"ABA-AMB",0.9978118,1,1,1,0.9989059,1.001096,0,0.9978094,0.002190581,1,11,0.002190581,0,0.9989059,8.193007,0,0.009857612,1,9,0,4.58794,0.008752735,0.9978094,0,0.9967177,0.008686211,1.007659,0.9913138,0,0,0,0,0,8.193007,1
"ADCAD",0.9852941,1,1,1,0,1,0,1,0,1,8,0,0,0.9852941,3.803571,0.01492537,0.02985075,1,2,1,5.583333,0,1,0,0.9705882,0,0.9852941,1,0,0,0,0,0,3.803571,1
"ADO",1.050407,0.4715909,0.2159091,0.8125,11.99389,1.182143,0.00101833,0.1426388,0,0.2567499,32,0.9133979,0.7593583,1.179735,13.14463,0,0,1.177989,0,0,4.70935,0.06517312,1.003057,1.219251,1.190937,0.05235174,1.244908,0.9476483,0.2613636,3.257259,0.2459893,0.1324503,2.465385,26.67323,2.029212
"AEO",0.9920319,1,0.6,1,10.95618,1.080645,0,0.06024096,0,0.8514056,13,0.9437751,0,1.067729,6.203209,0.004016064,0.008032129,1.089172,2,1,2.851064,0.4462151,1,0.6538462,1.055777,0.2947368,1.513944,0.7052632,0,0.2811245,0,0.068,2.058824,7.388535,1.191083
"AFPO",0.9978903,0.9354839,0.3870968,1,1.949367,1.067941,0.04008439,0.3150106,0.002114165,0.9936575,7,0.7019027,0.09230769,1.061181,3.956322,0,0,1.0525,0,0,6.797297,2.654008,0.9978858,0.6307692,1.054852,0.7143668,3.71519,0.2856332,0,0.0422833,0,0.04862579,2.304348,4.3025,1.0875
"AI-RHEUM",0,0.625,0.625,1,3.002457,1.787572,0.992629,0.8019802,0,0.9950495,9,0.1980198,1,1.519656,3.088584,0,0,1.58529,0,0,7.068571,1.832924,1,0.5,1.625307,0.5467204,3.35258,0.4532796,0,0.004950495,0,0.5067651,2.38835,10.58529,3.42723
"AMPHX",0.9975248,1,0.8,1,4.987624,1.158046,0,0.9131514,0,0.9379653,4,0.08684864,0,0.9975248,1.916031,0.004962779,0.01736973,1,7,2,36.63636,3.507426,1,0.4666667,0.8589109,0.7785714,4.50495,0.2214286,0,0.06203474,0,0,0,1.916031,1
"AO",0.9758621,1,1,1,0,1.017606,0,0.9896194,0,1,4,0.01038062,0,0.9965517,3,0.003460208,0.003460208,1,1,1,7.810811,0,1,0,0.9758621,0,0.9965517,1,0,0,0,0,0,3,1
"APO",1.026239,0.8529412,0.6470588,1,0,1.120915,0.002915452,0.1165049,0,0.8608414,9,0.8899676,0.1470588,1,3.922222,0,0.009708738,1.003717,3,0,4.635135,0,1,0.3529412,0.8921283,0,1,1,0,0.1521036,0,0.002923977,2,3.936803,1.003717
"ARO",0.9998605,1,0.4615385,1,10.99847,1.011437,0,0,0,0.2253835,10,1,0,1.011295,6.783522,0,0,1.008614,0,0,8.039911,0.8683587,1,0.75,1.0152,0.4619779,1.879654,0.5380221,0,0.9291492,0,0.01464435,2.057143,7.15792,1.055192
