"Metric","Stability_max_k","Stability_max_k_stab","Stability_max_k_qual","Quality_max_k","Quality_max_k_stab","Quality_max_k_qual","Global_optimal_k","Discriminatory_index"
"ANOnto","3",0.946525121942664,0.772127252380957,"2",0.747247106268754,0.776233625965129,"3",0.663642718529849
"APWND","2",0.993189138130845,0.764722392690783,"2",0.993189138130845,0.764722392690783,"2",0.876351556118381
"APWNN","2",0.980647874454309,0.617150856095516,"6",0.835973057744587,0.670766442800319,"6",0.698357865982415
"APWNS","4",0.752972437605442,0.971782828319464,"2",0.692370590261208,0.984279017605533,"4",0.686928217331236
"AROnto","7",0.852585875429348,0.632521264349945,"2",0.80417293451503,0.839460930023012,"2",0.739622347011176
"CBOOnto","2",0.747246222563015,0.991029832328527,"2",0.747246222563015,0.991029832328527,"2",0.743894760608882
"CROnto","7",0.887056088918483,0.864083258369339,"2",0.822802201707532,0.992689359791237,"2",0.819794596277701
"CWND","2",0.99414444791293,0.794825634883196,"2",0.99414444791293,0.794825634883196,"2",0.892157969945465
"CWNN","2",1,0.963143070688442,"2",1,0.963143070688442,"2",0.981571535344221
"CWNS","2",0.979525245608427,0.665171876000839,"2",0.979525245608427,0.665171876000839,"2",0.815538945409984
"DITOnto","3",0.918033038628554,0.552599870739614,"2",0.905068421731319,0.648010292494725,"2",0.745781037212585
"DxC","2",1,0.737157775872156,"2",1,0.737157775872156,"2",0.868578887936078
"DxP","2",0.992110419455698,0.731131566926096,"2",0.992110419455698,0.731131566926096,"2",0.858736832498024
"INROnto","2",0.973585608835585,0.736641522969357,"2",0.973585608835585,0.736641522969357,"2",0.84538459723464
"LCOMOnto","2",0.883066459550168,0.561513666888575,"3",0.85605853120363,0.570509138903987,"3",0.672223873346012
"LRClassPCT","3",0.909875983489869,0.934336533262989,"2",0.846793595687888,0.956202750009511,"2",0.828249980287544
"LRsxC","4",0.924035377681962,0.908534273882817,"2",0.922804536819455,0.980653249598626,"2",0.913877902297904
"NACOnto","4",0.918725137281197,0.704285453409233,"2",0.904034554045377,0.777353933360137,"2",0.803394685263014
"NLR","2",0.942327505186856,0.93555649489535,"2",0.942327505186856,0.93555649489535,"2",0.911964061491475
"NLRC","3",0.814871147296684,0.789384780529766,"6",0.737060279568897,0.935775432710968,"3",0.713391590808274
"NOCOnto","2",0.898798695189065,0.984951861703514,"2",0.898798695189065,0.984951861703514,"2",0.892036071656112
"NOMOnto","2",0.905503000012298,0.92412345121106,"2",0.905503000012298,0.92412345121106,"2",0.871149778732816
"NxC","3",0.849961848206298,0.921760424831262,"3",0.849961848206298,0.921760424831262,"3",0.81671152124965
"NxP","3",0.954181183134826,0.592709281220187,"3",0.954181183134826,0.592709281220187,"3",0.759866613172248
"POnto","3",0.942023131337919,0.67956199753176,"2",0.755680237799286,0.746236482242759,"2",0.659798200077498
"PROnto","2",0.996823594559187,0.661189182684239,"2",0.996823594559187,0.661189182684239,"2",0.827956286163071
"RFCOnto","2",0.896963084045911,0.91964013473092,"2",0.896963084045911,0.91964013473092,"2",0.860923167753277
"RROnto","2",0.996823594559187,0.661189183272515,"2",0.996823594559187,0.661189183272515,"2",0.827956286456274
"SxAP","3",0.746193731503901,0.971398404089739,"2",0.692370590261208,0.983856410004285,"2",0.686781916794074
"SxC","2",0.966865396456918,0.72895172087114,"2",0.966865396456918,0.72895172087114,"2",0.835831795527473
"SxP","2",0.961281700863599,0.875244869204881,"3",0.724154394147818,0.890583698414161,"2",0.684537246355424
"TMOnto","2",0.961750156383547,0.761582345725884,"3",0.946936084215218,0.770174434286266,"3",0.838121023590463
"TMOnto2","2",1,0.950934070498712,"2",1,0.950934070498712,"2",0.975467035249356
"WMCOnto","5",0.791394071522742,0.734469401846785,"2",0.762314377686374,0.973715480879247,"2",0.752295844268213
"WMCOnto2","4",0.792812513624241,0.831518934192211,"2",0.758669647476039,0.9778614422147,"2",0.750271721560738
