"Metric","Cluster_anova_k_2","Cluster_anova_k_3"
"ANOnto","45.1179208719122","261.211437983869"
"APWND","115.373841401957","167.269612091552"
"APWNN","146.775109309525","77.1039665238538"
"APWNS","",""
"AROnto","114.257530839226","339.391119210362"
"CBOOnto","6348.30075032921","9028893.45972918"
"CROnto","45514183.4295224","377214010.881445"
"DITOnto","100.802627679542","400.39374425023"
"DxP","208.838610511193","233.574282402241"
"INROnto","24.3843444577797","70.8706517120414"
"LCOMOnto","86.763293375541","73.1657414516023"
"NACOnto","108.964703500946","223.969184037717"
"NLR","165.235294117647",""
"NLRC","",""
"NOCOnto","6441.60297369042","630042.01550392"
"NOMOnto","269.470342929388","2434.26607457171"
"NxP","130.569324631074","186.99314245758"
"POnto","680.582027229882","3351.29090446244"
"PROnto","224.241396243915","852.849939611575"
"RFCOnto","246.606887950652","1580.36383586346"
"RROnto","224.241400269351","852.850277042228"
"SxAP","",""
"SxP","",""
"TMOnto","97.0145785118932","154.2334315018"
"TMOnto2","1967.65964943287","23082.801668208"
"WMCOnto","6566.01166844918","24210.1715747795"
"WMCOnto2","5163.13037392104","3476.70463961021"
