"Metric","Cluster_centers_k_2","Cluster_centers_k_3"
"ANOnto","2.059451, 0.18279991","3.6848485, 0.0660605114285714, 1.5206672125"
"APWND","0.972395469230769, 0.670287725","0.853142425, 0.6365741, 1"
"APWNN","0.960622707692308, 0.584989725","0.5208333, 0.960622707692308, 0.6063752"
"APWNS","",""
"AROnto","12.9443782125, 262.1058","3.3300951, 80.24436, 262.1058"
"CBOOnto","13062, 54.3677400625","13062, 3.25892273333333, 821"
"CROnto","0.0472083443610625, 467.75","0.188542625, 467.75, 9.69174814166667e-05"
"DITOnto","5.73333333333333, 33.5","3.09090909090909, 13, 33.5"
"DxP","0.77699874, 0.0438376658333333","0.323472966666667, 0.006382979, 0.84419925"
"INROnto","0.84991342, 1.07576900833333","0.84991342, 1.423336, 1.04417200909091"
"LCOMOnto","2.002527, 9.0539614","1.11948525, 3.7686105, 9.0539614"
"NACOnto","1.0287618125, 1.418112","1.00275145454545, 1.418112, 1.0859846"
"NLR","5.33333333333333, 0.285714285714286",""
"NLRC","",""
"NOCOnto","62.1422499375, 13062","821, 13062, 11.5517332666667"
"NOMOnto","26.85714, 1.193296193125","26.85714, 0.130800340833333, 4.38078375"
"NxP","0.7591434, 0.0728457","0.498601266666667, 0.04124138, 0.861986375"
"POnto","1.06895541111111, 0","1.445926, 0, 1.0218340875"
"PROnto","0.84466616, 0.078917795","0.84466616, 0.00460420444444444, 0.301858566666667"
"RFCOnto","27.71429, 2.2520116625","5.515276, 1.16425688333333, 27.71429"
"RROnto","0.155333848, 0.921082208333333","0.155333848, 0.9953958, 0.698141433333333"
"SxAP","",""
"SxP","",""
"TMOnto","0.0129301953333333, 0.2095477","0.106416955, 0.00863507285714286, 0.2793234"
"TMOnto2","0, 2.167725","2.081665, 2.598025, 0"
"WMCOnto","3.83202324375, 238.583","1.29464749, 238.583, 8.06098283333333"
"WMCOnto2","1.0126651334375, 17.91531","0.909779921363636, 17.91531, 1.2390126"
