"Metric","Cluster_partition_k_2","Cluster_partition_k_3"
"ANOnto","1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2","3, 3, 2, 3, 3, 3, 1, 2, 2, 2, 3, 3, 1, 3, 2, 2, 2"
"APWND","1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1","3, 2, 3, 1, 1, 3, 3, 3, 2, 3, 2, 1, 3, 1, 3, 3, 3"
"APWNN","1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1","2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 1, 3, 2, 2, 2, 2, 2"
"APWNS","",""
"AROnto","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1","1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1"
"CBOOnto","2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2","2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3"
"CROnto","1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1","3, 1, 3, 3, 1, 3, 3, 2, 1, 3, 3, 3, 3, 1, 3, 3, 3"
"DITOnto","1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","2, 3, 1, 3, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1"
"DxP","2, 1, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 1, 2, 2, 2","2, 3, 2, 2, 3, 1, 2, 2, 3, 2, 1, 1, 2, 3, 2, 2, 2"
"INROnto","2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2","3, 3, 3, 2, 1, 1, 1, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3"
"LCOMOnto","2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1","3, 2, 2, 3, 1, 1, 1, 1, 2, 1, 3, 3, 1, 2, 1, 3, 1"
"NACOnto","1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 3, 3, 1, 3, 3, 1, 1"
"NLR","1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2",""
"NLRC","",""
"NOCOnto","1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1","3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 1"
"NOMOnto","2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2","2, 3, 2, 2, 1, 3, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2"
"NxP","2, 1, 2, 1, 1, 2, 2, 2, 1, 2, 1, 2, 2, 1, 2, 2, 2","2, 3, 2, 1, 3, 2, 2, 2, 1, 2, 3, 1, 2, 3, 2, 2, 2"
"POnto","1, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 1, 2, 1, 2, 1, 2","3, 3, 3, 1, 2, 2, 2, 2, 3, 2, 3, 3, 2, 3, 2, 3, 2"
"PROnto","2, 1, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2","2, 1, 3, 3, 1, 1, 2, 2, 1, 2, 3, 2, 2, 1, 2, 2, 2"
"RFCOnto","2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2","2, 1, 2, 2, 3, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2"
"RROnto","2, 1, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2","2, 1, 3, 3, 1, 1, 2, 2, 1, 2, 3, 2, 2, 1, 2, 2, 2"
"SxAP","",""
"SxP","",""
"TMOnto","1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1","2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2"
"TMOnto2","2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1","1, 1, 3, 2, 3, 3, 3, 3, 3, 3, 1, 1, 3, 1, 3, 3, 3"
"WMCOnto","1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","3, 3, 1, 2, 1, 1, 1, 1, 1, 1, 3, 3, 1, 3, 1, 3, 1"
"WMCOnto2","1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1","3, 3, 1, 2, 1, 1, 1, 1, 1, 1, 3, 3, 1, 3, 1, 1, 1"
