"Metric","Cluster_size_k_2","Cluster_size_k_3"
"ANOnto","9, 8","2, 7, 8"
"APWND","13, 4","4, 3, 10"
"APWNN","13, 4","1, 13, 3"
"APWNS","",""
"AROnto","16, 1","14, 2, 1"
"CBOOnto","1, 16","1, 15, 1"
"CROnto","16, 1","4, 1, 12"
"DITOnto","15, 2","11, 4, 2"
"DxP","5, 12","3, 10, 4"
"INROnto","5, 12","5, 1, 11"
"LCOMOnto","12, 5","8, 4, 5"
"NACOnto","16, 1","11, 1, 5"
"NLR","3, 14",""
"NLRC","",""
"NOCOnto","16, 1","1, 1, 15"
"NOMOnto","1, 16","1, 12, 4"
"NxP","6, 11","3, 10, 4"
"POnto","9, 8","1, 8, 8"
"PROnto","5, 12","5, 9, 3"
"RFCOnto","1, 16","4, 12, 1"
"RROnto","5, 12","5, 9, 3"
"SxAP","",""
"SxP","",""
"TMOnto","15, 2","2, 14, 1"
"TMOnto2","11, 6","5, 1, 11"
"WMCOnto","16, 1","10, 1, 6"
"WMCOnto2","16, 1","11, 1, 5"
