"Metric","Cluster_totss_k_2","Cluster_totss_k_3"
"ANOnto","23.1809162317927","23.1809162317927"
"APWND","0.339669827319049","0.339669827319049"
"APWNN","0.505114319936451","0.505114319936451"
"APWNS","",""
"AROnto","71214.1865821199","71214.1865821199"
"CBOOnto","159872763.41585","159872763.41585"
"CROnto","205878.608447133","205878.608447133"
"DITOnto","1698","1698"
"DxP","2.12425453171922","2.12425453171922"
"INROnto","0.364621454430629","0.364621454430629"
"LCOMOnto","226.05828638142","226.05828638142"
"NACOnto","0.175410821865059","0.175410821865059"
"NLR","72.4705882352941",""
"NLRC","",""
"NOCOnto","159672639.822168","159672639.822168"
"NOMOnto","677.399786187883","677.399786187883"
"NxP","2.17872747240506","2.17872747240506"
"POnto","5.01729675631313","5.01729675631313"
"PROnto","2.30027029953765","2.30027029953765"
"RFCOnto","672.049342594679","672.049342594679"
"RROnto","2.30027026735892","2.30027026735892"
"SxAP","",""
"SxP","",""
"TMOnto","0.085800815618518","0.085800815618518"
"TMOnto2","18.4750887635101","18.4750887635101"
"WMCOnto","52063.8532967031","52063.8532967031"
"WMCOnto2","270.195545212221","270.195545212221"
