"Metric","Mean_stability_k_2","Mean_stability_k_3"
"ANOnto","0.679517496392496","0.904444444444444"
"APWND","0.916169733044733","0.854960317460317"
"APWNN","0.934861111111111","0.746560846560847"
"APWNS",NA,NA
"AROnto","0.804212662337662","0.786123737373737"
"CBOOnto","0.686187770562771","0.687748316498316"
"CROnto","0.779112276612277","0.731203703703704"
"DITOnto","0.81213924963925","0.906845238095238"
"DxP","0.978333333333333","0.820667989417989"
"INROnto","0.761747072372072","0.795515873015873"
"LCOMOnto","0.955456349206349","0.673730158730159"
"NACOnto","0.815176767676768","0.809925444925445"
"NLR","1",NA
"NLRC",NA,NA
"NOCOnto","0.698062770562771","0.694402356902357"
"NOMOnto","0.819772727272727","0.873511904761905"
"NxP","0.928829365079365","0.801884920634921"
"POnto","1","0.889563492063492"
"PROnto","1","0.875277777777778"
"RFCOnto","0.911153846153846","0.87537037037037"
"RROnto","1","0.875277777777778"
"SxAP",NA,NA
"SxP",NA,NA
"TMOnto","0.828598484848485","0.796837421837422"
"TMOnto2","1","0.888333333333333"
"WMCOnto","0.760700757575758","0.86781746031746"
"WMCOnto2","0.808390151515151","0.780316859066859"
