"Description","ANOnto","APWND","APWNN","APWNS","AROnto","CBOOnto","CROnto","DITOnto","DxP","INROnto","LCOMOnto","NACOnto","NLR","NLRC","NOCOnto","NOMOnto","NxP","POnto","PROnto","RFCOnto","RROnto","SxAP","SxP","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
"AER_PJT",0,1,1,1,0,3,36.5,2,0,0.75,1,1,0,0,3,0,0,0,0,0.75,1,0,0,0,0,1,1
"ARG",0.4150943,0.6428571,0.6428571,1,29.75472,1.6,0.0754717,3,0.5227273,1.207547,1.584906,1.292683,0,0,5.333333,1.207547,0.4545455,0.03773585,0.5,2.415094,0.5,0,0,0,0,2.04878,1.292683
"EASYDATA_KW",0,1,1,1,0,11,213,2,0,0.9166667,1,1,0,0,11,0,0,0,0,0.9166667,1,0,0,0,0,1,1
"FMT_INT",0,1,1,1,0,6,7.285714,2,0,0.8571429,1,1,0,0,6,0,0,0,0,0.8571429,1,0,0,0,0,1,1
"FMT_PTF",0,1,1,1,0,4,5.6,2,0,0.8,1,1,0,0,4,0,0,0,0,0.8,1,0,0,0,0,1,1
"FMT_VAR",0,1,1,1,6.272727,1.3125,4.863636,2,0,0.9545455,1,1,0,0,21,0,0,0,0,0.9545455,1,0,0,0,0,1,1
"NVS_L05",0,1,1,1,0,2,98.66667,2,0,0.6666667,1,1,0,0,2,0,0,0,0,0.6666667,1,0,0,0,0,1,1
"NVS_L22",0,1,1,1,0,2,689,2,0,0.6666667,1,1,0,0,2,0,0,0,0,0.6666667,1,0,0,0,0,1,1
"NVS_OD1",0,1,1,1,0,2,24.33333,2,0,0.6666667,1,1,0,0,2,0,0,0,0,0.6666667,1,0,0,0,0,1,1
"NVS_P02",0,1,1,1,0,2,177.3333,2,0,0.6666667,1,1,0,0,2,0,0,0,0,0.6666667,1,0,0,0,0,1,1
"NVS_P06",0,1,1,1,0,2,254.6667,2,0,0.6666667,1,1,0,0,2,0,0,0,0,0.6666667,1,0,0,0,0,1,1
"NVS_P07",0,1,1,1,0,3,3958.5,2,0,0.75,1,1,0,0,3,0,0,0,0,0.75,1,0,0,0,0,1,1
"NVS_R",0,1,1,1,0,3,504.5,2,0,0.75,1,1,0,0,3,0,0,0,0,0.75,1,0,0,0,0,1,1
"SDNDEV",0,1,1,1,0,2,752.6667,2,0,0.6666667,1,1,0,0,2,0,0,0,0,0.6666667,1,0,0,0,0,1,1
"SOSA",1.705882,1,1,1,21.64706,16,0.05882353,2,1.15,0.9411765,1,1,1,0,16,2.470588,0.575,0,0.7241379,3.411765,0.2758621,0,0,0,0,1,1
"SSN",0.5217391,1,1,1,36.34783,2.875,0.04347826,3,1.384615,1,1.368421,1.055556,0,0,4.6,4.956522,0.6923077,0.3043478,0.8321168,5.956522,0.1678832,0,0,0.04545455,2,1.444444,1.055556
"SWEET",0.09483348,1,1,1,2.425725,1.128333,0,3,0,1.128333,1.955882,1.098975,0,0,9.11839,0,0,0,0,1.128333,1,0,0,0,0,0.0148239,0.007579135
