"Metric","Stability_max_k","Stability_max_k_stab","Stability_max_k_qual","Quality_max_k","Quality_max_k_stab","Quality_max_k_qual","Global_optimal_k","Discriminatory_index"
"AROnto","2",1,0.901609300493245,"2",1,0.901609300493245,"2",0.950804650246623
"CBOOnto","2",0.984722222222222,0.832586333404872,"2",0.984722222222222,0.832586333404872,"2",0.90229424332226
"CROnto","4",0.878407738095238,0.699495181362427,"2",0.849621212121212,0.868748099846973,"2",0.793864012870598
"CWND","2",1,0.918633776465061,"2",1,0.918633776465061,"2",0.95931688823253
"CWNN","2",1,0.918633776465061,"2",1,0.918633776465061,"2",0.95931688823253
"DxC","2",1,0.869856034337397,"2",1,0.869856034337397,"2",0.934928017168698
"DxP","2",0.927329545454545,0.906280440115304,"2",0.927329545454545,0.906280440115304,"2",0.883875087020507
"INROnto","2",0.897132936507937,0.669759426972394,"2",0.897132936507937,0.669759426972394,"2",0.748998088990777
"NOCOnto","2",1,0.787030657636956,"2",1,0.787030657636956,"2",0.893515328818478
"NOMOnto","2",0.927329545454545,0.852604135403871,"2",0.927329545454545,0.852604135403871,"2",0.858987275395641
"NxC","2",1,0.931075487381908,"2",1,0.931075487381908,"2",0.965537743690954
"NxP","2",1,0.946423285056281,"2",1,0.946423285056281,"2",0.973211642528141
"PROnto","2",1,0.934373942635422,"2",1,0.934373942635422,"2",0.967186971317711
"RFCOnto","2",0.926875,0.812255244644893,"3",0.799424603174603,0.832501169425071,"3",0.732473260092317
"RROnto","2",1,0.934373942635422,"2",1,0.934373942635422,"2",0.967186971317711
