"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size"
"ANOnto","0.917580115749451","0","0.863604814823013","16","1"
"APWND","0","1","0.941176470588235","1","16"
"APWNN","0","1","0.941176470588235","1","16"
"AROnto","0.954721949765187","0.635764587910055","0.898435356496634","14","3"
"CBOOnto","0.875929592065635","0.51935372373033","0.833979489908541","15","2"
"CROnto","0.92954365191918","0","0.874864613570993","16","1"
"DITOnto","1","1","1","14","3"
"DxP","0.925699083571828","0.807896298578502","0.911839932396142","15","2"
"INROnto","0.724059512724787","0.533866609751375","0.656932605792994","11","6"
"LCOMOnto","1","0.304337044562174","0.877235949040384","14","3"
"NACOnto","0.924032058284011","0","0.869677231326128","16","1"
"NLR","1","0","0.941176470588235","16","1"
"NOCOnto","0.796999570805269","0.385715336219265","0.724419999995974","14","3"
"NOMOnto","0.946197761911493","0.225807392851727","0.861445953786814","15","2"
"NxP","1","0.714257520300168","0.949574856523559","14","3"
"POnto","0.983404518032315","0","0.925557193442178","16","1"
"PROnto","1","0.64999436072225","0.938234298950985","14","3"
"RFCOnto","0.890161908410214","0.244810799695196","0.814238248561388","15","2"
"RROnto","0.64999436072225","1","0.938234298950985","3","14"
"TMOnto","1","0","0.941176470588235","16","1"
"TMOnto2","1","0","0.941176470588235","16","1"
"WMCOnto","0.874106209610366","0.150917586848636","0.789025195167809","15","2"
"WMCOnto2","0","0.961441444996586","0.90488606587914","1","16"
