"Metric","Cluster_mean_k_2","Cluster_mean_k_3"
"ANOnto","",""
"APWND","",""
"APWNN","",""
"APWNS","",""
"AROnto","0.984444444444444, 0.85",""
"CBOOnto","0.953611111111111, 0.825","0.913329725829726, 0.75, 0.774015151515152"
"CROnto","0.65, 0.927159090909091","0.941666666666667, 0.901388888888889, 0.6"
"DITOnto","",""
"DxP","",""
"INROnto","0.896666666666667, 0.942876984126984","0.6975, 0.8075, 0.792857142857143"
"LCOMOnto","",""
"NACOnto","",""
"NLR","",""
"NLRC","",""
"NOCOnto","0.758333333333333, 0.938594322344322","0.691666666666667, 0.766666666666667, 0.804265873015873"
"NOMOnto","",""
"NxP","",""
"POnto","",""
"PROnto","",""
"RFCOnto","0.928106060606061, 0.675","0.775, 0.475, 0.784848484848485"
"RROnto","",""
"SxAP","",""
"SxP","",""
"TMOnto","",""
"TMOnto2","",""
"WMCOnto","",""
"WMCOnto2","",""
