"Metric","Cluster_size_k_2","Cluster_size_k_3"
"ANOnto","",""
"APWND","",""
"APWNN","",""
"APWNS","",""
"AROnto","14, 3",""
"CBOOnto","15, 2","9, 2, 6"
"CROnto","1, 16","3, 13, 1"
"DITOnto","",""
"DxP","",""
"INROnto","6, 11","2, 5, 10"
"LCOMOnto","",""
"NACOnto","",""
"NLR","",""
"NLRC","",""
"NOCOnto","3, 14","2, 2, 13"
"NOMOnto","",""
"NxP","",""
"POnto","",""
"PROnto","",""
"RFCOnto","15, 2","2, 1, 14"
"RROnto","",""
"SxAP","",""
"SxP","",""
"TMOnto","",""
"TMOnto2","",""
"WMCOnto","",""
"WMCOnto2","",""
