"Metric","Cluster_tot.withinss_k_2","Cluster_tot.withinss_k_3"
"ANOnto","",""
"APWND","",""
"APWNN","",""
"APWNS","",""
"AROnto","148.265370572618",""
"CBOOnto","33.4807238032964","20.9789987384569"
"CROnto","970117.734047936","134635.889916887"
"DITOnto","",""
"DxP","",""
"INROnto","0.113311729234924","0.038091113183424"
"LCOMOnto","",""
"NACOnto","",""
"NLR","",""
"NLRC","",""
"NOCOnto","106.808407418937","37.9871497165629"
"NOMOnto","",""
"NxP","",""
"POnto","",""
"PROnto","",""
"RFCOnto","5.9926787404895","0.753261329582612"
"RROnto","",""
"SxAP","",""
"SxP","",""
"TMOnto","",""
"TMOnto2","",""
"WMCOnto","",""
"WMCOnto2","",""
