"Metric","Mean_stability_k_2","Mean_stability_k_3"
"ANOnto",NA,NA
"APWND",NA,NA
"APWNN",NA,NA
"APWNS",NA,NA
"AROnto","0.917222222222222",NA
"CBOOnto","0.889305555555556","0.812448292448292"
"CROnto","0.788579545454545","0.814351851851852"
"DITOnto",NA,NA
"DxP",NA,NA
"INROnto","0.919771825396825","0.765952380952381"
"LCOMOnto",NA,NA
"NACOnto",NA,NA
"NLR",NA,NA
"NLRC",NA,NA
"NOCOnto","0.848463827838828","0.754199735449735"
"NOMOnto",NA,NA
"NxP",NA,NA
"POnto",NA,NA
"PROnto",NA,NA
"RFCOnto","0.80155303030303","0.678282828282828"
"RROnto",NA,NA
"SxAP",NA,NA
"SxP",NA,NA
"TMOnto",NA,NA
"TMOnto2",NA,NA
"WMCOnto",NA,NA
"WMCOnto2",NA,NA
