"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size"
"ANOnto","0.904859387543658","0.749819666422562","0.849488058571838","9","5"
"APWND","0.988826223567837","1","0.998403746223977","2","12"
"APWNN","0.844101680431529","1","0.977728811490218","2","12"
"APWNS","0","1","0.928571428571429","1","13"
"AROnto","0.882545353994003","0.55281557242516","0.811888972229251","11","3"
"CBOOnto","0.851462839469872","0.430442187782049","0.701098321009935","9","5"
"CROnto","0.976826589238656","0","0.907053261435895","13","1"
"CWND","0.66372427663856","0.910062282651414","0.822084423361109","5","9"
"CWNN","0.716801704563177","0.926149363542908","0.851382342478719","5","9"
"CWNS","0.328641898615505","1","0.904091699802215","2","12"
"DITOnto","0.977062459270121","0.872841016321253","0.962173681705997","12","2"
"DxC","0.940260962042869","0.638399954023953","0.83245345917897","9","5"
"DxP","0.905112665162692","0.362087383938285","0.749962584812861","10","4"
"INROnto","0.787184458827137","0.691624652558881","0.753055956588474","9","5"
"LCOMOnto","0.945861322902208","0.494071482285604","0.881319917099836","12","2"
"LRClassPCT","0.96895082317188","0","0.899740050088174","13","1"
"LRsxC","0.863495817804613","0","0.801817545104283","13","1"
"NACOnto","0.950366865719008","0.574805658219813","0.869889464112037","11","3"
"NLR","0.966329966329966","0.813798042492242","0.944539691496006","12","2"
"NLRC","1","0.5","0.892857142857143","11","3"
"NOCOnto","0.87953066620916","0.457037413172994","0.758818308198827","10","4"
"NOMOnto","0.897032016003398","0.450222267603192","0.737457105860468","9","5"
"NxC","0.926827553114462","0.713210555806891","0.850535768361758","9","5"
"NxP","0.855020289561892","0.615727027123779","0.769558410119709","9","5"
"POnto","0.827157305275731","0.898904135799045","0.837406852493347","12","2"
"PROnto","1","0.897879975580062","0.956234275248598","8","6"
"RFCOnto","0.855601741058725","0.521548464274249","0.736296999349984","9","5"
"RROnto","0.897879979240261","1","0.956234276817255","6","8"
"SxAP","1","0","0.928571428571429","13","1"
"SxC","0.92120889646162","0","0.855408261000076","13","1"
"SxP","0.923353379041706","0","0.857399566253013","13","1"
"TMOnto","0.901588776954575","0","0.837189578600677","13","1"
"TMOnto2","1","0.967460317460317","0.993027210884354","11","3"
"WMCOnto","0.927187877608691","0.448588960347213","0.858816603714195","12","2"
"WMCOnto2","1","0.575134674583041","0.878609907023726","10","4"
