"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size"
"ANOnto","0.884222557204444","0.765815555477704","0.5397884601945","0.809644757261579","9","3","2"
"APWND","0","0","1","0.857142857142857","1","1","12"
"APWNN","0","0","1","0.857142857142857","1","1","12"
"AROnto","0.853153467607933","0.430913675890349","0","0.731893963961998","11","2","1"
"CBOOnto","0.813782248069277","0.52352213782892","0","0.672723484567084","9","4","1"
"CROnto","0.867449116717478","0.216088066134627","0","0.57285951888664","8","5","1"
"CWND","0.780118324606443","0.675870519652128","0.884247599623973","0.824719757484645","2","3","9"
"CWNN","0.957612499886423","0.106555144221344","1","0.860254306284884","4","2","8"
"CWNS","0","0","1","0.857142857142857","1","1","12"
"DITOnto","0.975481415136588","0","0","0.836126927259932","12","1","1"
"DxC","0.929155663900218","0.757457018136249","0","0.813730646260497","9","4","1"
"DxP","0.833294454580397","0.756617687251223","0.847023364973303","0.824301903589502","10","2","2"
"INROnto","0.830502638697836","0.324029652107167","0.748858969445205","0.698645950356227","7","3","4"
"LCOMOnto","0.927680761008103","0","0","0.795154938006946","12","1","1"
"LRClassPCT","1","0.285753145584402","0","0.826536163654915","11","2","1"
"LRsxC","1","0.84592320100491","0","0.906560457286416","11","2","1"
"NACOnto","0.917300776700143","0","0.886724164788043","0.847411205234119","11","1","2"
"NLR","0.9625","0","0","0.825","12","1","1"
"NLRC","1","1","0","0.928571428571429","11","2","1"
"NOCOnto","1","0.42962486766135","0.518359432991234","0.774568064425554","8","3","3"
"NOMOnto","1","0.518915678042493","0.263064269981637","0.757270803723803","8","4","2"
"NxC","1","0.112608359870074","0.959826549181505","0.861751636890441","8","2","4"
"NxP","1","0.732840821503483","0.681665276121628","0.870881624820963","8","2","4"
"POnto","1","0.332018351230919","0.864987197288504","0.837573532019269","9","3","2"
"PROnto","1","0","0.678156329906804","0.813627260681002","8","1","5"
"RFCOnto","0.990840616051166","0.697197570568945","0.261092807665674","0.802692916144032","8","4","2"
"RROnto","0.678156351120133","0","1","0.81362726825719","5","1","8"
"SxC","1","0","0","0.857142857142857","12","1","1"
"SxP","1","0","0","0.857142857142857","12","1","1"
"TMOnto","0.905985429732939","0","0","0.776558939771091","12","1","1"
"TMOnto2","1","1","0","0.928571428571429","11","2","1"
"WMCOnto","0.898057527722671","0","0","0.769763595190861","12","1","1"
"WMCOnto2","1","0.572396139800005","0","0.836942029957144","10","3","1"
