"Metric","Cluster_anova_k_2","Cluster_anova_k_3"
"ANOnto","382.041821847","413.186679435701"
"APWND","",""
"APWNN","",""
"APWNS","",""
"AROnto","223.315504936556","222.129814580426"
"CBOOnto","113.550104784084","183.459621399251"
"CROnto","4688.85458681843","5480.63613045974"
"CWND","286.931720113242","417.111836722542"
"CWNN","369.889986449252","954.66922311209"
"CWNS","",""
"DITOnto","3783.04309656824",""
"DxC","223.721043387516","577.156827476957"
"DxP","141.747878788126","489.054796310817"
"INROnto","222.076931669409","299.367179633945"
"LCOMOnto","376.363831467142",""
"LRClassPCT","1549.75903926405",""
"LRsxC","116.971173163751",""
"NACOnto","335.125702341372",""
"NLR","1171.63865546219",""
"NLRC","207.428571428571",""
"NOCOnto","176.077611538021","249.102338886883"
"NOMOnto","115.710458388186","231.413510175602"
"NxC","365.977577728474","979.269660498539"
"NxP","209.417950211222","800.836359571285"
"POnto","191.511514594712",""
"PROnto","3080.2279248753","6896.57954069764"
"RFCOnto","118.810947990165","313.66036585061"
"RROnto","3080.22809028154","6896.58070224621"
"SxAP","",""
"SxC","",""
"SxP","",""
"TMOnto","191.31234087971",""
"TMOnto2","48240.1071428571",""
"WMCOnto","279.42322913307",""
"WMCOnto2","292.770749182077",""
