"Metric","Cluster_betweenss_k_2","Cluster_betweenss_k_3"
"ANOnto","5.07476117525397","5.307581107918"
"APWND","",""
"APWNN","",""
"APWNS","",""
"AROnto","3040.66023797911","3255.49457488792"
"CBOOnto","10.0661850681792","11.9494800149305"
"CROnto","1870950.62878964","1878633.89022853"
"CWND","1.75667113443377","1.88634734694168"
"CWNN","2.43131603898656","2.60457565134794"
"CWNS","",""
"DITOnto","1710.0119047619",""
"DxC","3.50136251997706","3.90945317218645"
"DxP","3.84975303730368","4.59565308269418"
"INROnto","0.434250669245269","0.473473769363085"
"LCOMOnto","41.0939870893243",""
"LRClassPCT","0.00459224448216999",""
"LRsxC","0.00421389872389298",""
"NACOnto","0.0984930604383117",""
"NLR","50.2976190476191",""
"NLRC","4.19047619047619",""
"NOCOnto","29.7027205070649","33.1408670351717"
"NOMOnto","166.34053144385","199.955006261384"
"NxC","2.46946079221053","2.64885191934178"
"NxP","1.63823538576057","1.85924188396556"
"POnto","1.50741889908654",""
"PROnto","2.43873592147438","2.45915807772241"
"RFCOnto","183.633273760577","223.24971662504"
"RROnto","2.4387359118357","2.45915806756191"
"SxAP","",""
"SxC","",""
"SxP","",""
"TMOnto","0.0533298858940871",""
"TMOnto2","9.74547619047619",""
"WMCOnto","78.859474450483",""
"WMCOnto2","0.342369053520714",""
