"Metric","Cluster_centers_k_2","Cluster_centers_k_3"
"ANOnto","0.0493827111111111, 1.3058916","1.5701755, 0.0493827111111111, 1.12970233333333"
"APWND","",""
"APWNN","",""
"APWNS","",""
"AROnto","2.03349254545455, 37.9497433333333","49.91732, 2.03349254545455, 31.965955"
"CBOOnto","2.00288744444444, 3.772549","3.46568625, 5, 2.00288744444444"
"CROnto","1441.75, 22.28886706","1441.75, 3.0694089725, 53.04"
"CWND","0.972222222222222, 0.232952374","0.035714285, 0.972222222222222, 0.364444433333333"
"CWNN","0.972222222222222, 0.1025042022","0.605, 1, 0.01313025275"
"CWNS","",""
"DITOnto","2.41666666666667, 34",""
"DxC","0.0277777777777778, 1.07147926","1.642857, 0.0277777777777778, 0.928634825"
"DxP","0.05371353, 1.214494975","1.6463225, 0.05371353, 0.78266745"
"INROnto","0.709259277777778, 1.07681908","0.8602339, 1.10918175, 0.678571457142857"
"LCOMOnto","1.14756941666667, 6.0436385",""
"LRClassPCT","0.00110436323076923, 0.07142857",""
"LRsxC","0.00406355846153846, 0.07142857",""
"NACOnto","1.00448936363636, 1.208903",""
"NLR","0.0833333333333333, 5.5",""
"NLRC","1.33333333333333, 0",""
"NOCOnto","5.41666675, 2.1923913","3.307971, 2, 5.888889"
"NOMOnto","0.300800777777778, 7.494575","10.6209175, 0, 4.73456175"
"NxC","0.0277777777777778, 0.90429172","0.395, 0, 0.99536465"
"NxP","0.0383141777777778, 0.7522282","0.829708325, 0, 0.39356765"
"POnto","0.0780587083333333, 1.01578345",""
"PROnto","0, 0.843384833333333","0.8694758, 0, 0.71293"
"RFCOnto","1.08913913333333, 8.6476014","5.990211, 11.7647075, 0.693750025"
"RROnto","1, 0.156615168333333","0.130524202, 1, 0.28707"
"SxAP","",""
"SxC","",""
"SxP","",""
"TMOnto","0.01034987, 0.25",""
"TMOnto2","0, 2.03333333333333",""
"WMCOnto","1.25372025, 8.0361505",""
"WMCOnto2","1, 1.3461635",""
